cidade;estado;pais;temperatura;sensacao_termica;condicao
Santa Rosa;San Martín Department;Peru;33.2;41.1;Sunny
San Lorenzo;Loreto;Peru;20.1;20.1;Overcast
San Bernardino;Cajamarca Department;Peru;30.0;30.2;Sunny
Laredo;La Libertad;Peru;34.4;39.4;Thundery outbreaks in nearby
El Alto;Piura;Peru;22.0;24.6;Partly cloudy
Talavera;Apurímac Department;Peru;14.5;13.5;Clear
Santa Rosa;Puno;Peru;33.2;41.1;Sunny
Santa Rosa;Apurímac Department;Peru;33.2;41.1;Sunny
Santa Rosa;Lima region;Peru;33.2;41.1;Sunny
San Lorenzo;Junin;Peru;20.1;20.1;Overcast
San Lorenzo;Madre de Dios;Peru;20.1;20.1;Overcast
Lima;Lima Province;Peru;17.4;17.5;Partly Cloudy
Callao;Callao;Peru;17.1;17.1;Clear
Salamanca;Arequipa;Peru;8.1;5.8;Clear
Santa Rosa;Ayacucho;Peru;33.2;41.1;Sunny
Santa Rosa;Junin;Peru;33.2;41.1;Sunny
Santa Rosa;Cajamarca Department;Peru;33.2;41.1;Sunny
Papeete;Îles du Vent;French Polynesia;30.3;37.7;Patchy rain nearby
Faaa;Îles du Vent;French Polynesia;30.3;37.7;Patchy rain nearby
Valencia;Eastern Visayas;Philippines;21.3;21.3;Clear
Valencia;Central Visayas;Philippines;21.3;21.3;Clear
Tuguegarao;Cagayan Valley;Philippines;30.1;33.9;Sunny
Tanza;Metro Manila;Philippines;33.2;40.0;Sunny
Tanza;Calabarzon;Philippines;33.2;40.0;Sunny
Tanza;Western Visayas;Philippines;33.2;40.0;Sunny
Tanauan;Calabarzon;Philippines;29.7;33.7;Sunny
Tanauan;Eastern Visayas;Philippines;29.7;33.7;Sunny
Talavera;Central Luzon;Philippines;14.5;13.5;Clear
Taguig;Metro Manila;Philippines;33.2;40.3;Sunny
Tabuk;Cordillera;Philippines;26.3;25.3;Clear
Santa Rosa;Central Luzon;Philippines;33.2;41.1;Sunny
Santa Rosa;Calabarzon;Philippines;33.2;41.1;Sunny
San Lorenzo;Ilocos;Philippines;20.1;20.1;Overcast
San Lorenzo;Central Luzon;Philippines;20.1;20.1;Overcast
Aurora;Calabarzon;Philippines;22.3;24.5;Partly cloudy
Salinas;Cagayan Valley;Philippines;17.8;17.8;Sunny
Salamanca;Western Visayas;Philippines;8.1;5.8;Clear
La Paz;Cordillera;Philippines;5.3;2.5;Clear
La Paz;Cagayan Valley;Philippines;5.3;2.5;Clear
La Paz;Central Luzon;Philippines;5.3;2.5;Clear
La Paz;Eastern Visayas;Philippines;5.3;2.5;Clear
La Paz;Western Visayas;Philippines;5.3;2.5;Clear
La Paz;Caraga;Philippines;5.3;2.5;Clear
La Paz;Davao Region;Philippines;5.3;2.5;Clear
Imus;Calabarzon;Philippines;33.2;41.8;Sunny
Iligan;Northern Mindanao;Philippines;28.5;32.7;Patchy rain nearby
Hagonoy;Central Luzon;Philippines;32.1;38.5;Sunny
Hagonoy;Davao Region;Philippines;32.1;38.5;Sunny
Gingoog;Northern Mindanao;Philippines;28.3;31.5;Patchy rain nearby
Davao;Davao Region;Philippines;28.3;33.4;Partly cloudy
Cavite;Central Luzon;Philippines;33.2;42.0;Sunny
Carmen;Ilocos;Philippines;29.3;33.4;Patchy rain nearby
Carmen;Central Luzon;Philippines;29.3;33.4;Patchy rain nearby
Carmen;Mimaropa;Philippines;29.3;33.4;Patchy rain nearby
Carmen;Central Visayas;Philippines;29.3;33.4;Patchy rain nearby
Carmen;Caraga;Philippines;29.3;33.4;Patchy rain nearby
Carmen;Davao Region;Philippines;29.3;33.4;Patchy rain nearby
Carmen;Soccsksargen;Philippines;29.3;33.4;Patchy rain nearby
Cabuyao;Calabarzon;Philippines;26.0;29.0;Partly Cloudy
Bislig;Eastern Visayas;Philippines;28.2;32.3;Patchy rain nearby
Bislig;Caraga;Philippines;28.2;32.3;Patchy rain nearby
Bayugan;Caraga;Philippines;28.2;31.8;Patchy rain nearby
Baybay;Bicol Region;Philippines;29.5;34.0;Sunny
Baybay;Eastern Visayas;Philippines;29.5;34.0;Sunny
Barcelona;Bicol Region;Philippines;16.3;16.3;Patchy rain nearby
Barcelona;Zamboanga Peninsula;Philippines;16.3;16.3;Patchy rain nearby
Barcelona;Caraga;Philippines;16.3;16.3;Patchy rain nearby
Aurora;Cagayan Valley;Philippines;22.3;24.5;Partly cloudy
Aurora;Mimaropa;Philippines;22.3;24.5;Partly cloudy
Aurora;Caraga;Philippines;22.3;24.5;Partly cloudy
Aurora;Zamboanga Peninsula;Philippines;22.3;24.5;Partly cloudy
Mandaluyong;Metro Manila;Philippines;33.2;40.2;Sunny
Shikarpur;Sindh;Pakistan;32.4;35.0;Sunny
Okara;Punjab;Pakistan;32.3;33.2;Sunny
Mardan;Khyber Pakhtunkhwa;Pakistan;29.3;27.5;Mist
Mandi Bahauddin;Punjab;Pakistan;31.7;31.3;Sunny
Dadu;Sindh;Pakistan;24.9;26.3;Partly Cloudy
Lublin;Lublin;Poland;9.7;7.1;Light drizzle
Tychy;Silesia;Poland;8.3;7.4;Partly cloudy
Konotop;Lubusz;Poland;11.2;9.7;Partly Cloudy
Kalisz;Greater Poland;Poland;4.1;1.0;Clear
Bydgoszcz;Kujawsko-Pomorskie;Poland;3.9;0.9;Clear
Arecibo;Arecibo;Puerto Rico;24.1;26.7;Moderate or heavy rain with thunder
Ponce;Ponce;Puerto Rico;27.4;30.7;Clear
Salinas;Salinas;Puerto Rico;17.8;17.8;Sunny
San Lorenzo;San Lorenzo;Puerto Rico;20.1;20.1;Overcast
Boa Vista;Leiria;Portugal;26.2;29.7;Light rain shower
Santa Rosa;Misiones Department;Paraguay;33.2;41.1;Sunny
San Lorenzo;Central Department;Paraguay;20.1;20.1;Overcast
San Bernardino;Cordillera Department;Paraguay;30.0;30.2;Sunny
Lima;San Pedro Department;Paraguay;17.4;17.5;Partly Cloudy
Ciudad del Este;Alto Paraná Department;Paraguay;19.1;19.1;Fog
Saint-Denis;Réunion;Réunion;20.3;20.3;Clear
Kragujevac;Central Serbia;Serbia;13.4;13.0;Thundery outbreaks in nearby
Novi Sad;Vojvodina;Serbia;14.1;13.1;Light rain shower
Syktyvkar;Komi;Russian Federation;5.1;2.9;Sunny
Smolensk;Smolensk Oblast;Russian Federation;10.6;8.9;Partly Cloudy
Moscow;Moscow;Russian Federation;12.2;11.9;Clear
Lipetsk;Lipetsk Oblast;Russian Federation;11.5;11.1;Clear
Kursk;Kursk Oblast;Russian Federation;10.3;9.4;Clear
Kolpino;St.-Petersburg;Russian Federation;11.4;10.6;Fog
Korolev;Moscow Oblast;Russian Federation;14.3;14.5;Partly cloudy
Kaliningrad;Kaliningrad Oblast;Russian Federation;7.3;5.3;Clear
Ivanovo;Ivanovo Oblast;Russian Federation;8.2;6.6;Sunny
Elista;Kalmykiya Republic;Russian Federation;15.3;15.3;Clear
Kurgan;Kurgan Oblast;Russian Federation;15.3;15.3;Patchy rain nearby
Tabuk;Tabuk Region;Saudi Arabia;26.3;25.3;Clear
Abha;'Asir Region;Saudi Arabia;19.3;19.3;Clear
Omdurman;Khartoum;Sudan;27.9;29.1;Clear
Bratislava;Bratislava Region;Slovakia;11.2;9.3;Clear
Ziguinchor;Ziguinchor;Senegal;25.0;27.2;Clear
Songkhla;Songkhla;Thailand;29.3;36.0;Partly cloudy
Pak Kret;Nonthaburi;Thailand;30.3;34.3;Partly Cloudy
Nakhon Sawan;Nakhon Sawan;Thailand;30.1;34.4;Partly Cloudy
Ashgabat;Ashgabat;Turkmenistan;23.1;24.8;Overcast
Sousse;Sousse Governorate;Tunisia;9.0;9.1;Partly Cloudy
Tarsus;Mersin;Türkiye;20.0;20.0;Partly Cloudy
Sivas;Sivas;Türkiye;8.0;8.0;Cloudy
Osmaniye;Osmaniye;Türkiye;16.4;16.4;Clear
Kilis;Kilis;Türkiye;18.0;18.0;Clear
Gaziantep;Gaziantep;Türkiye;18.0;18.0;Patchy rain nearby
Denizli;Denizli;Türkiye;12.1;11.6;Clear
Batman;Batman;Türkiye;15.0;15.8;Clear
Adana;Adana;Türkiye;20.0;20.0;Overcast
Tokat;Tokat Province;Türkiye;10.6;11.0;Overcast
Rio Claro;Mayaro;Trinidad and Tobago;16.4;16.4;Mist
Funafuti;Funafuti;Tuvalu;31.0;39.3;Partly cloudy
Shenzhen;Taiwan;Taiwan, Province of China;30.1;35.3;Partly Cloudy
Nantou;Taiwan;Taiwan, Province of China;31.3;35.2;Partly cloudy
Fengshan;Takao;Taiwan, Province of China;33.0;40.6;Partly cloudy
Zanzibar;Zanzibar Urban/West;Tanzania, United Republic of;24.1;26.6;Patchy rain nearby
Tabora;Tabora;Tanzania, United Republic of;19.3;19.3;Partly Cloudy
Mwanza;Mwanza;Tanzania, United Republic of;19.5;19.5;Partly Cloudy
Sumy;Sumy;Ukraine;10.9;9.7;Clear
Simferopol;Crimea;Ukraine;12.7;10.3;Light rain shower
Konotop;Sumy;Ukraine;11.2;9.7;Partly Cloudy
Aurora;Indiana;United States;22.3;24.5;Partly cloudy
Greensboro;Alabama;United States;19.4;19.4;Partly cloudy
Hamilton;Alabama;United States;10.5;8.9;Fog
Lincoln;Alabama;United States;17.8;17.8;Sunny
Roanoke;Alabama;United States;16.7;16.7;Partly cloudy
Rockford;Alabama;United States;13.3;13.9;Partly cloudy
York;Alabama;United States;1.3;-1.4;Partly Cloudy
Clarksville;Arkansas;United States;20.3;20.3;Clear
Lincoln;Arkansas;United States;17.8;17.8;Sunny
London;Arkansas;United States;5.4;5.2;Clear
Warren;Arkansas;United States;10.6;8.6;Overcast
Cape Coral;Florida;United States;27.2;32.1;Partly Cloudy
Dundee;Florida;United States;4.3;3.8;Clear
Memphis;Florida;United States;23.3;25.2;Partly cloudy
Tallahassee;Florida;United States;26.1;26.3;Partly cloudy
Arlington;Georgia;United States;28.1;31.1;Sunny
Chatsworth;Georgia;United States;29.2;36.7;Clear
Dallas;Georgia;United States;28.3;31.0;Partly cloudy
Greensboro;Georgia;United States;19.4;19.4;Partly cloudy
Hamilton;Georgia;United States;10.5;8.9;Fog
Manchester;Georgia;United States;6.2;6.0;Clear
Richmond Hill;Georgia;United States;8.1;6.0;Overcast
Clarksville;Indiana;United States;20.3;20.3;Clear
Southport;Indiana;United States;6.2;4.7;Clear
Kansas City;Kansas;United States;19.4;19.4;Sunny
Lincoln;Kansas;United States;17.8;17.8;Sunny
Bellevue;Kentucky;United States;20.0;20.0;Partly cloudy
Dayton;Kentucky;United States;13.1;11.4;Overcast
Lancaster;Kentucky;United States;30.3;28.1;Sunny
London;Kentucky;United States;5.4;5.2;Clear
Manchester;Kentucky;United States;6.2;6.0;Clear
Arlington;Maryland;United States;28.1;31.1;Sunny
Greensboro;Maryland;United States;19.4;19.4;Partly cloudy
Kingstown;Maryland;United States;27.0;30.1;Partly Cloudy
La Plata;Maryland;United States;9.2;7.0;Clear
Manchester;Maryland;United States;6.2;6.0;Clear
Aurora;Missouri;United States;22.3;24.5;Partly cloudy
Hamilton;Missouri;United States;10.5;8.9;Fog
Kansas City;Missouri;United States;19.4;19.4;Sunny
Lincoln;Missouri;United States;17.8;17.8;Sunny
Manchester;Missouri;United States;6.2;6.0;Clear
Dallas;North Carolina;United States;28.3;31.0;Partly cloudy
Greensboro;North Carolina;United States;19.4;19.4;Partly cloudy
Halifax;North Carolina;United States;6.4;2.4;Overcast
Southport;North Carolina;United States;6.2;4.7;Clear
Dayton;Ohio;United States;13.1;11.4;Overcast
Hamilton;Ohio;United States;10.5;8.9;Fog
Lancaster;Ohio;United States;30.3;28.1;Sunny
London;Ohio;United States;5.4;5.2;Clear
Manchester;Ohio;United States;6.2;6.0;Clear
Newcastle;Oklahoma;United States;5.6;5.1;Clear
Lima;Pennsylvania;United States;17.4;17.5;Partly Cloudy
York;Pennsylvania;United States;1.3;-1.4;Partly Cloudy
Lancaster;South Carolina;United States;30.3;28.1;Sunny
York;South Carolina;United States;1.3;-1.4;Partly Cloudy
Arlington;Tennessee;United States;28.1;31.1;Sunny
Bradford;Tennessee;United States;6.4;6.3;Clear
Clarksville;Tennessee;United States;20.3;20.3;Clear
Dayton;Tennessee;United States;13.1;11.4;Overcast
Manchester;Tennessee;United States;6.2;6.0;Clear
Memphis;Tennessee;United States;23.3;25.2;Partly cloudy
Arlington;Texas;United States;28.1;31.1;Sunny
Aurora;Texas;United States;22.3;24.5;Partly cloudy
Clarksville;Texas;United States;20.3;20.3;Clear
Dallas;Texas;United States;28.3;31.0;Partly cloudy
Dayton;Texas;United States;13.1;11.4;Overcast
Garland;Texas;United States;28.2;30.7;Sunny
Grand Prairie;Texas;United States;28.1;30.9;Sunny
Hamilton;Texas;United States;10.5;8.9;Fog
Hidalgo;Texas;United States;29.9;27.7;Overcast
Lancaster;Texas;United States;30.3;28.1;Sunny
Laredo;Texas;United States;34.4;39.4;Thundery outbreaks in nearby
Roanoke;Texas;United States;16.7;16.7;Partly cloudy
Santa Rosa;Texas;United States;33.2;41.1;Sunny
Sunnyvale;Texas;United States;18.2;18.2;Sunny
Arlington;Virginia;United States;28.1;31.1;Sunny
Clarksville;Virginia;United States;20.3;20.3;Clear
Dayton;Virginia;United States;13.1;11.4;Overcast
Halifax;Virginia;United States;6.4;2.4;Overcast
Lancaster;Virginia;United States;30.3;28.1;Sunny
Roanoke;Virginia;United States;16.7;16.7;Partly cloudy
South Hill;Virginia;United States;18.3;18.3;Overcast
Manchester;Connecticut;United States;6.2;6.0;Clear
Southport;Connecticut;United States;6.2;4.7;Clear
Akron;Iowa;United States;10.3;8.3;Light rain
Bellevue;Iowa;United States;20.0;20.0;Partly cloudy
Clarksville;Iowa;United States;20.3;20.3;Clear
Manchester;Iowa;United States;6.2;6.0;Clear
Tama;Iowa;United States;29.3;31.8;Clear
Aurora;Illinois;United States;22.3;24.5;Partly cloudy
Bellevue;Illinois;United States;20.0;20.0;Partly cloudy
Chatsworth;Illinois;United States;29.2;36.7;Clear
Hamilton;Illinois;United States;10.5;8.9;Fog
Joliet;Illinois;United States;13.3;13.2;Overcast
Lincoln;Illinois;United States;17.8;17.8;Sunny
Peoria;Illinois;United States;39.4;39.0;Sunny
Roanoke;Illinois;United States;16.7;16.7;Partly cloudy
Rockford;Illinois;United States;13.3;13.9;Partly cloudy
Toulon;Illinois;United States;15.0;13.9;Clear
Warren;Illinois;United States;10.6;8.6;Overcast
Woodridge;Illinois;United States;11.1;10.9;Overcast
Akron;Indiana;United States;10.3;8.3;Light rain
Dayton;Indiana;United States;13.1;11.4;Overcast
Hamilton;Indiana;United States;10.5;8.9;Fog
Roanoke;Indiana;United States;16.7;16.7;Partly cloudy
Warren;Indiana;United States;10.6;8.6;Overcast
Arlington;Massachusetts;United States;28.1;31.1;Sunny
Bellevue;Massachusetts;United States;20.0;20.0;Partly cloudy
Brockton;Massachusetts;United States;8.3;4.4;Moderate or heavy rain with thunder
Halifax;Massachusetts;United States;6.4;2.4;Overcast
Lancaster;Massachusetts;United States;30.3;28.1;Sunny
Lincoln;Massachusetts;United States;17.8;17.8;Sunny
Southampton;Massachusetts;United States;9.4;9.4;Partly cloudy
Warren;Massachusetts;United States;10.6;8.6;Overcast
Bradford;Maine;United States;6.4;6.3;Clear
Garland;Maine;United States;28.2;30.7;Sunny
Lincoln;Maine;United States;17.8;17.8;Sunny
Manchester;Maine;United States;6.2;6.0;Clear
Warren;Maine;United States;10.6;8.6;Overcast
Bellevue;Michigan;United States;20.0;20.0;Partly cloudy
Dundee;Michigan;United States;4.3;3.8;Clear
Manchester;Michigan;United States;6.2;6.0;Clear
Memphis;Michigan;United States;23.3;25.2;Partly cloudy
Rockford;Michigan;United States;13.3;13.9;Partly cloudy
Saint Louis;Michigan;United States;16.7;16.7;Overcast
Sterling Heights;Michigan;United States;10.0;7.7;Overcast
Warren;Michigan;United States;10.6;8.6;Overcast
Arlington;Minnesota;United States;28.1;31.1;Sunny
Aurora;Minnesota;United States;22.3;24.5;Partly cloudy
Dayton;Minnesota;United States;13.1;11.4;Overcast
Rockford;Minnesota;United States;13.3;13.9;Partly cloudy
Warren;Minnesota;United States;10.6;8.6;Overcast
La Plata;Missouri;United States;9.2;7.0;Clear
Lancaster;Missouri;United States;30.3;28.1;Sunny
Memphis;Missouri;United States;23.3;25.2;Partly cloudy
Arlington;Nebraska;United States;28.1;31.1;Sunny
Aurora;Nebraska;United States;22.3;24.5;Partly cloudy
Bellevue;Nebraska;United States;20.0;20.0;Partly cloudy
Lincoln;Nebraska;United States;17.8;17.8;Sunny
York;Nebraska;United States;1.3;-1.4;Partly Cloudy
Lancaster;New Hampshire;United States;30.3;28.1;Sunny
Manchester;New Hampshire;United States;6.2;6.0;Clear
Dayton;New Jersey;United States;13.1;11.4;Overcast
Akron;New York;United States;10.3;8.3;Light rain
Arlington;New York;United States;28.1;31.1;Sunny
Dundee;New York;United States;4.3;3.8;Clear
Hamilton;New York;United States;10.5;8.9;Fog
Lancaster;New York;United States;30.3;28.1;Sunny
Lima;New York;United States;17.4;17.5;Partly Cloudy
Manchester;New York;United States;6.2;6.0;Clear
Richmond Hill;New York;United States;8.1;6.0;Overcast
Salamanca;New York;United States;8.1;5.8;Clear
South Hill;New York;United States;18.3;18.3;Overcast
Southampton;New York;United States;9.4;9.4;Partly cloudy
Southport;New York;United States;6.2;4.7;Clear
Springs;New York;United States;5.2;3.3;Clear
Akron;Ohio;United States;10.3;8.3;Light rain
Arlington;Ohio;United States;28.1;31.1;Sunny
Aurora;Ohio;United States;22.3;24.5;Partly cloudy
Bellevue;Ohio;United States;20.0;20.0;Partly cloudy
Bradford;Ohio;United States;6.4;6.3;Clear
Lima;Ohio;United States;17.4;17.5;Partly Cloudy
Rockford;Ohio;United States;13.3;13.9;Partly cloudy
Warren;Ohio;United States;10.6;8.6;Overcast
Akron;Pennsylvania;United States;10.3;8.3;Light rain
Bellevue;Pennsylvania;United States;20.0;20.0;Partly cloudy
Bradford;Pennsylvania;United States;6.4;6.3;Clear
Dallas;Pennsylvania;United States;28.3;31.0;Partly cloudy
Lancaster;Pennsylvania;United States;30.3;28.1;Sunny
Lincoln;Pennsylvania;United States;17.8;17.8;Sunny
Manchester;Pennsylvania;United States;6.2;6.0;Clear
Moscow;Pennsylvania;United States;12.2;11.9;Clear
Warren;Pennsylvania;United States;10.6;8.6;Overcast
Bradford;Rhode Island;United States;6.4;6.3;Clear
Warren;Rhode Island;United States;10.6;8.6;Overcast
Arlington;Vermont;United States;28.1;31.1;Sunny
Lincoln;Vermont;United States;17.8;17.8;Sunny
Bellevue;Wisconsin;United States;20.0;20.0;Partly cloudy
Fontana;Wisconsin;United States;27.8;27.6;Sunny
Lancaster;Wisconsin;United States;30.3;28.1;Sunny
Manchester;Wisconsin;United States;6.2;6.0;Clear
Peoria;Arizona;United States;39.4;39.0;Sunny
Chatsworth;California;United States;29.2;36.7;Clear
Citrus Heights;California;United States;25.3;24.8;Sunny
Compton;California;United States;21.1;21.1;Partly Cloudy
El Monte;California;United States;26.1;26.4;Sunny
Fontana;California;United States;27.8;27.6;Sunny
Garden Grove;California;United States;20.2;20.2;Sunny
Lancaster;California;United States;30.3;28.1;Sunny
Lincoln;California;United States;17.8;17.8;Sunny
London;California;United States;5.4;5.2;Clear
Newcastle;California;United States;5.6;5.1;Clear
Salinas;California;United States;17.8;17.8;Sunny
San Bernardino;California;United States;30.0;30.2;Sunny
San Lorenzo;California;United States;20.1;20.1;Overcast
Santa Rosa;California;United States;33.2;41.1;Sunny
Sunnyvale;California;United States;18.2;18.2;Sunny
Valencia;California;United States;21.3;21.3;Clear
Aurora;Colorado;United States;22.3;24.5;Partly cloudy
Santa Rosa;New Mexico;United States;33.2;41.1;Sunny
Valencia;New Mexico;United States;21.3;21.3;Clear
Dayton;Nevada;United States;13.1;11.4;Overcast
Memphis;Texas;United States;23.3;25.2;Partly cloudy
Aurora;Utah;United States;22.3;24.5;Partly cloudy
Akron;Colorado;United States;10.3;8.3;Light rain
Bellevue;Idaho;United States;20.0;20.0;Partly cloudy
Lincoln;Idaho;United States;17.8;17.8;Sunny
Moscow;Idaho;United States;12.2;11.9;Clear
Hamilton;Montana;United States;10.5;8.9;Fog
Lincoln;Montana;United States;17.8;17.8;Sunny
Lincoln;North Dakota;United States;17.8;17.8;Sunny
Dallas;Oregon;United States;28.3;31.0;Partly cloudy
Dayton;Oregon;United States;13.1;11.4;Overcast
Dundee;Oregon;United States;4.3;3.8;Clear
Warren;Oregon;United States;10.6;8.6;Overcast
Garland;Utah;United States;28.2;30.7;Sunny
Arlington;Washington;United States;28.1;31.1;Sunny
Bellevue;Washington;United States;20.0;20.0;Partly cloudy
Dayton;Washington;United States;13.1;11.4;Overcast
Manchester;Washington;United States;6.2;6.0;Clear
Newcastle;Washington;United States;5.6;5.1;Clear
South Hill;Washington;United States;19.1;19.1;Overcast
Vancouver;Washington;United States;17.0;17.0;Partly cloudy
Newcastle;Wyoming;United States;5.6;5.1;Clear
Dayton;Maine;United States;13.1;11.4;Overcast
Lincoln;Rhode Island;United States;17.8;17.8;Sunny
Santa Rosa;Canelones;Uruguay;33.2;41.1;Sunny
La Paz;Canelones;Uruguay;5.3;2.5;Clear
Kingstown;Saint George Parish;Saint Vincent and the Grenadines;27.0;30.1;Partly Cloudy
Valencia;Carabobo;Venezuela, Bolivarian Republic of;21.3;21.3;Clear
Santa Rosa;Barinas;Venezuela, Bolivarian Republic of;33.2;41.1;Sunny
San Lorenzo;Sucre;Venezuela, Bolivarian Republic of;20.1;20.1;Overcast
Ocumare del Tuy;Miranda;Venezuela, Bolivarian Republic of;26.3;29.8;Partly Cloudy
La Plata;Zulia;Venezuela, Bolivarian Republic of;9.2;7.0;Clear
Caracas;Distrito Federal;Venezuela, Bolivarian Republic of;26.3;29.7;Partly Cloudy
Barcelona;Anzoátegui;Venezuela, Bolivarian Republic of;16.3;16.3;Patchy rain nearby
Charlotte Amalie;Saint Thomas Island;Virgin Islands, U.S.;28.3;36.8;Overcast
Vinh;Nghệ An Province;Viet Nam;29.0;33.7;Sunny
Nha Trang;Khánh Hòa Province;Viet Nam;28.2;32.2;Partly Cloudy
Hanoi;Hanoi;Viet Nam;29.1;34.9;Moderate or heavy rain with thunder
Haiphong;Haiphong;Viet Nam;28.4;34.0;Patchy light rain
Cam Ranh;Khánh Hòa Province;Viet Nam;28.0;31.3;Sunny
Leshan;Prizren;XK;27.2;27.8;Partly Cloudy
Sanaa;Amanat Alasimah;Yemen;17.4;17.4;Clear
Aden;Aden;Yemen;31.1;37.8;Overcast
Springs;Gauteng;South Africa;5.2;3.3;Clear
Soshanguve;Gauteng;South Africa;8.1;6.8;Clear
Rustenburg;North West;South Africa;9.1;7.6;Clear
Newcastle;KwaZulu-Natal;South Africa;5.6;5.1;Clear
Klerksdorp;North West;South Africa;7.4;6.4;Clear
Kimberley;Northern Cape;South Africa;4.0;0.6;Clear
Johannesburg;Gauteng;South Africa;10.7;10.4;Clear
Dundee;KwaZulu-Natal;South Africa;4.3;3.8;Clear
Botshabelo;Free State;South Africa;2.1;-0.9;Clear
Boksburg;Gauteng;South Africa;9.9;9.4;Clear
Arlington;Free State;South Africa;28.1;31.1;Sunny
Amersfoort;Mpumalanga;South Africa;4.1;1.1;Patchy rain nearby
Paarl;Western Cape;South Africa;10.1;8.9;Clear
Chatsworth;Western Cape;South Africa;29.2;36.7;Clear
Kitwe;Copperbelt;Zambia;15.9;15.9;Clear
