pais;estado
Vietnam;Tinh Hung Yen
Vietnam;Tinh Kien Giang
Vietnam;Tinh Lai Chau
Vietnam;Tinh Lam Dong
Vietnam;Tinh Lang Son
Vietnam;Tinh Lao Cai
Vietnam;Tinh Nam GJinh
Vietnam;Tinh Nghe An
Vietnam;Tinh Ninh Binh
Vietnam;Tinh Ninh Thuan
Vietnam;Tinh Phu Yen
Vietnam;Tinh Quang Binh
Vietnam;Tinh Quang Nam
Vietnam;Tinh Quang Ngai
Vietnam;Tinh Quang Ninh
Vietnam;Tinh Quang Tri
Vietnam;Tinh Soc Trang
Vietnam;Tinh Son La
Vietnam;Tinh Tay Ninh
Vietnam;Tinh Thai Binh
Vietnam;Tinh Thai Nguyen
Vietnam;Tinh Thanh Hoa
Vietnam;Tinh Thua Thien-Hue
Vietnam;Tinh Tien Giang
Vietnam;Tinh Tra Vinh
Vietnam;Tinh Tuyen Quang
Vietnam;Tinh Vinh Long
Vietnam;Tinh Vinh Phuc
Vietnam;Tinh Yen Bai

