cidade;film_id;title;total_alugueis
Crdoba;741;ROMAN PUNK;1
Avellaneda;183;CONVERSATION DOWNHILL;1
Toulouse;493;KANE EXORCIST;1
Bergamo;83;BLUES INSTINCT;1
Sivas;43;ATLANTIS CAUSE;1
Ahmadnagar;525;LOATHING LEGALLY;1
Carmen;309;FEUD FROGMEN;1
Mosul;917;TUXEDO MILE;1
Cheju;125;CASSIDY WYOMING;1
Sucre;239;DOGMA FAMILY;1
Springs;78;BLACKOUT PRIVATE;1
Lapu-Lapu;290;EVERYONE CRAFT;1
Jos Azueta;765;SATURN NAME;1
Southport;220;DEER VIRGINIAN;1
Gingoog;693;POTTER CONNECTICUT;1
Xintai;358;GILMORE BOILED;1
Hanoi;561;MASK PEACH;1
Malm;614;NAME DETECTIVE;1
Baiyin;437;HOUSE DYNAMITE;1
Kitwe;576;MIGHTY LUCK;1
Laohekou;385;GROUNDHOG UNCUT;1
Shimonoseki;686;PLUTO OLEANDER;1
Halisahar;460;INNOCENT USUAL;1
Sucre;328;FOREVER CANDIDATE;1
Lapu-Lapu;205;DANCES NONE;1
Lapu-Lapu;73;BINGO TALENTED;1
Bayugan;784;SHANGHAI TYCOON;1
Qinhuangdao;760;SAMURAI LION;1
Osmaniye;830;SPIRIT FLINTSTONES;1
Roanoke;287;ENTRAPMENT SATISFACTION;1
Bamenda;194;CROW GREASE;1
Bhopal;190;CREEPERS KANE;1
Arecibo;602;MOURNING PURPLE;1
Kurgan;848;STONE FIRE;1
Qomsheh;371;GOSFORD DONNIE;1
Erlangen;846;STING PERSONAL;1
Davao;795;SIEGE MADRE;1
Nezahualcyotl;61;BEAUTY GREASE;1
Gijn;314;FIGHT JAWBREAKER;1
Urawa;234;DISTURBING SCARFACE;1
Garland;314;FIGHT JAWBREAKER;1
Angra dos Reis;330;FORRESTER COMANCHEROS;1
Ljubertsy;796;SIERRA DIVIDE;1
Chungho;638;OPERATION OPERATION;1
Batman;369;GOODFELLAS SALUTE;1
Berhampore (Baharampur);871;SWEDEN SHINING;1
Bucuresti;918;TWISTED PIRATES;1
Tabriz;510;LAWLESS VISION;1
Xinxiang;665;PATTON INTERVIEW;1
Bamenda;489;JUGGLER HARDLY;1
Clarksville;444;HUSTLER PARTY;1
Nakhon Sawan;39;ARMAGEDDON LOST;1
Bchar;710;RAGE GAMES;1
Rockford;100;BROOKLYN DESERT;1
Cape Coral;716;REAP UNFAITHFUL;1
Talavera;956;WANDA CHAMBER;1
Mwene-Ditu;518;LIAISONS SWEET;1
Kowloon and New Kowloon;251;DRAGONFLY STRANGERS;1
Celaya;114;CAMELOT VACATION;1
Omdurman;48;BACKLASH UNDEFEATED;1
Lungtan;1000;ZORRO ARK;1
Uruapan;667;PEACH INNOCENT;1
Yangor;284;ENEMY ODDS;1
Sanya;418;HOBBIT ALIEN;1
Florencia;629;NOTORIOUS REUNION;1
Leshan;580;MINE TITANS;1
Ibirit;112;CALENDAR GUNFIGHT;1
Lilongwe;47;BABY HALL;1
Memphis;858;SUBMARINE BED;1
Izumisano;238;DOCTOR GRAIL;1
Roanoke;150;CIDER DESIRE;1
Cheju;288;ESCAPE METROPOLIS;1
San Bernardino;254;DRIVER ANNIE;1
Sullana;468;INVASION CYCLONE;1
Laredo;365;GOLD RIVER;1
Cayenne;307;FELLOWSHIP AUTUMN;1
Valle de Santiago;235;DIVIDE MONSTER;1
al-Qadarif;985;WONDERLAND CHRISTMAS;1
Parbhani;648;OUTLAW HANKY;1
Atinsk;165;COLDBLOODED DARLING;1
Robamba;273;EFFECT GLADIATOR;1
Siliguri (Shiliguri);717;REAR TRADING;1
Botshabelo;427;HOMEWARD CIDER;1
Hodeida;518;LIAISONS SWEET;1
Ocumare del Tuy;239;DOGMA FAMILY;1
Livorno;1;ACADEMY DINOSAUR;1
Baicheng;173;CONFESSIONS MAGUIRE;1
Kalisz;732;RINGS HEARTBREAKERS;1
Santiago de Compostela;683;PITY BOUND;1
Usak;173;CONFESSIONS MAGUIRE;1
Nam Dinh;647;OUTFIELD MASSACRE;1
Donostia-San Sebastin;574;MIDNIGHT WESTWARD;1
Brescia;747;ROXANNE REBEL;1
Novi Sad;559;MARRIED GO;1
Ife;575;MIDSUMMER GROUNDHOG;1
Valencia;443;HURRICANE AFFAIR;1
Tsaotun;561;MASK PEACH;1
Haiphong;500;KISS GLORY;1
Tangail;908;TRAP GUYS;1
Mardan;580;MINE TITANS;1
Nagareyama;791;SHOW LORD;1
Xiangfan;557;MANCHURIAN CURTAIN;1
Baicheng;426;HOME PITY;1
Pingxiang;255;DRIVING POLISH;1
Jinzhou;778;SECRETS PARADISE;1
Tsaotun;186;CRAFT OUTFIELD;1
London;965;WATERSHIP FRONTIER;1
Livorno;597;MOONWALKER FOOL;1
Springs;681;PIRATES ROXANNE;1
Laredo;452;ILLUSION AMELIE;1
La Romana;971;WHALE BIKINI;1
Sungai Petani;756;SADDLE ANTITRUST;1
Oyo;496;KICK SAVANNAH;1
Amroha;819;SONG HEDWIG;1
Katihar;762;SASSY PACKER;1
Qomsheh;428;HOMICIDE PEACH;1
Bhavnagar;300;FALCON VOLUME;1
Hiroshima;334;FREDDY STORM;1
Ede;633;OCTOBER SUBMARINE;1
Palghat (Palakkad);570;MERMAID INSECTS;1
Cuernavaca;265;DYING MAKER;1
Apeldoorn;374;GRAFFITI LOVE;1
Changhwa;183;CONVERSATION DOWNHILL;1
Shanwei;254;DRIVER ANNIE;1
Haining;743;ROOM ROMAN;1
s-Hertogenbosch;374;GRAFFITI LOVE;1
Fuyu;633;OCTOBER SUBMARINE;1
Mosul;119;CAPER MOTIONS;1
Ipoh;853;STRANGER STRANGERS;1
Boa Vista;453;IMAGE PRINCESS;1
Brest;691;POSEIDON FOREVER;1
Soshanguve;982;WOMEN DORADO;1
South Hill;945;VIRGINIAN PLUTO;1
Compton;218;DECEIVER BETRAYED;1
Emmen;833;SPLENDOR PATTON;1
Matamoros;19;AMADEUS HOLY;1
Saarbrcken;367;GOLDMINE TYCOON;1
Emeishan;665;PATTON INTERVIEW;1
Tieli;443;HURRICANE AFFAIR;1
Yamuna Nagar;924;UNFORGIVEN ZOOLANDER;1
Robamba;660;PARTY KNOCK;1
Tegal;629;NOTORIOUS REUNION;1
Dundee;625;NONE SPIKING;1
Hunuco;348;GANDHI KWAI;1
Beira;736;ROBBERY BRIGHT;1
Cuauhtmoc;275;EGYPT TENENBAUMS;1
Taguig;891;TIMBERLAND SKY;1
Chisinau;738;ROCKETEER MOTHER;1
Shikarpur;841;STAR OPERATION;1
Jakarta;381;GRINCH MASSAGE;1
Kaduna;10;ALADDIN CALENDAR;1
Hiroshima;378;GREATEST NORTH;1
Tandil;150;CIDER DESIRE;1
Bchar;273;EFFECT GLADIATOR;1
Jinzhou;580;MINE TITANS;1
Shanwei;250;DRAGON SQUAD;1
Manchester;427;HOMEWARD CIDER;1
Pyongyang;963;WATCH TRACY;1
Lapu-Lapu;753;RUSH GOODFELLAS;1
Dundee;924;UNFORGIVEN ZOOLANDER;1
Cape Coral;223;DESIRE ALIEN;1
Klerksdorp;43;ATLANTIS CAUSE;1
Purnea (Purnia);560;MARS ROMAN;1
Omdurman;908;TRAP GUYS;1
Maring;458;INDIAN LOVE;1
Pune;625;NONE SPIKING;1
Ruse;561;MASK PEACH;1
Jinzhou;349;GANGS PRIDE;1
Grand Prairie;875;TALENTED HOMICIDE;1
Udaipur;51;BALLOON HOMEWARD;1
Tongliao;238;DOCTOR GRAIL;1
Laiwu;748;RUGRATS SHAKESPEARE;1
Sasebo;159;CLOSER BANG;1
Fuzhou;978;WISDOM WORKER;1
ostka;748;RUGRATS SHAKESPEARE;1
Quilmes;782;SHAKESPEARE SADDLE;1
Kamjanets-Podilskyi;786;SHEPHERD MIDSUMMER;1
Bandar Seri Begawan;505;LABYRINTH LEAGUE;1
Touliu;46;AUTUMN CROW;1
Pudukkottai;11;ALAMO VIDEOTAPE;1
Kanchrapara;397;HANKY OCTOBER;1
Siliguri (Shiliguri);796;SIERRA DIVIDE;1
Dallas;150;CIDER DESIRE;1
Vancouver;99;BRINGING HYSTERICAL;1
Changzhou;159;CLOSER BANG;1
Basel;630;NOTTING SPEAKEASY;1
Saint-Denis;579;MINDS TRUMAN;1
Torren;989;WORKING MICROCOSMOS;1
Xiangfan;789;SHOCK CABIN;1
Papeete;11;ALAMO VIDEOTAPE;1
Abu Dhabi;437;HOUSE DYNAMITE;1
Tafuna;777;SECRETARY ROUGE;1
Roanoke;51;BALLOON HOMEWARD;1
Cavite;54;BANGER PINOCCHIO;1
Newcastle;867;SUPER WYOMING;1
Datong;733;RIVER OUTLAW;1
Tabuk;990;WORLD LEATHERNECKS;1
Birgunj;245;DOUBLE WRATH;1
Omiya;112;CALENDAR GUNFIGHT;1
Hoshiarpur;678;PICKUP DRIVING;1
Sawhaj;833;SPLENDOR PATTON;1
Naala-Porto;596;MOONSHINE CABIN;1
Chisinau;864;SUNDANCE INVASION;1
Bhusawal;649;OZ LIAISONS;1
Hamilton;473;JACKET FRISCO;1
Pereira;891;TIMBERLAND SKY;1
Lhokseumawe;485;JERSEY SASSY;1
Lapu-Lapu;29;ANTITRUST TOMATOES;1
Zalantun;218;DECEIVER BETRAYED;1
Tafuna;997;YOUTH KICK;1
San Juan Bautista Tuxtepec;25;ANGELS LIFE;1
Benin City;252;DREAM PICKUP;1
Kalisz;333;FREAKY POCUS;1
Mogiljov;271;EASY GLADIATOR;1
Southend-on-Sea;393;HALLOWEEN NUTS;1
Mardan;321;FLASH WARS;1
Brescia;695;PRESIDENT BANG;1
Blumenau;295;EXPENDABLE STALLION;1
San Felipe del Progreso;320;FLAMINGOS CONNECTICUT;1
Luzinia;416;HIGHBALL POTTER;1
Bag;911;TRIP NEWTON;1
Patiala;583;MISSION ZOOLANDER;1
Toulon;418;HOBBIT ALIEN;1
Buenaventura;463;INSTINCT AIRPORT;1
Belm;971;WHALE BIKINI;1
Jastrzebie-Zdrj;511;LAWRENCE LOVE;1
Haldia;578;MILLION ACE;1
al-Ayn;987;WORDS HUNTER;1
Miyakonojo;388;GUNFIGHT MOON;1
Mwanza;384;GROSSE WONDERFUL;1
Greensboro;239;DOGMA FAMILY;1
Kirovo-Tepetsk;183;CONVERSATION DOWNHILL;1
Sunnyvale;559;MARRIED GO;1
Kragujevac;162;CLUELESS BUCKET;1
Bchar;367;GOLDMINE TYCOON;1
Phnom Penh;201;CYCLONE FAMILY;1
Peoria;796;SIERRA DIVIDE;1
Kurashiki;147;CHOCOLAT HARRY;1
Cuman;142;CHICKEN HELLFIGHTERS;1
Maracabo;283;ENDING CROWDS;1
Firozabad;61;BEAUTY GREASE;1
Bhilwara;210;DARKO DORADO;1
Rio Claro;593;MONTEREY LABYRINTH;1
Tanza;644;OSCAR GOLD;1
Hubli-Dharwad;55;BARBARELLA STREETCAR;1
Vaduz;137;CHARADE DUFFEL;1
Jinchang;311;FICTION CHRISTMAS;1
La Plata;602;MOURNING PURPLE;1
Kursk;61;BEAUTY GREASE;1
Xiangfan;911;TRIP NEWTON;1
Tel Aviv-Jaffa;590;MONEY HAROLD;1
Baybay;145;CHISUM BEHAVIOR;1
Mysore;745;ROSES TREASURE;1
Kolpino;22;AMISTAD MIDSUMMER;1
Livorno;68;BETRAYED REAR;1
Usak;500;KISS GLORY;1
Vancouver;296;EXPRESS LONELY;1
Yangor;758;SAINTS BRIDE;1
Iwaki;865;SUNRISE LEAGUE;1
Udaipur;746;ROUGE SQUAD;1
Paarl;849;STORM HAPPINESS;1
Patiala;253;DRIFTER COMMANDMENTS;1
Masqat;82;BLOOD ARGONAUTS;1
Ozamis;208;DARES PLUTO;1
Santiago de los Caballeros;647;OUTFIELD MASSACRE;1
Kitwe;893;TITANS JERK;1
Witten;448;IDAHO LOVE;1
Cuautla;260;DUDE BLINDNESS;1
Santa Brbara dOeste;343;FULL FLATLINERS;1
Songkhla;422;HOLLOW JEOPARDY;1
Novoterkassk;691;POSEIDON FOREVER;1
Gaziantep;898;TOURIST PELICAN;1
Etawah;961;WASH HEAVENLY;1
Huejutla de Reyes;269;EARRING INSTINCT;1
Tychy;590;MONEY HAROLD;1
Bratislava;320;FLAMINGOS CONNECTICUT;1
Matsue;526;LOCK REAR;1
Saint Louis;652;PAJAMA JAWBREAKER;1
Jhansi;350;GARDEN ISLAND;1
Pathankot;159;CLOSER BANG;1
Ranchi;610;MUSIC BOONDOCK;1
Miraj;809;SLIPPER FIDELITY;1
Teboksary;303;FANTASY TROOPERS;1
Ueda;215;DAWN POND;1
Bijapur;963;WATCH TRACY;1
Davao;532;LOSER HUSTLER;1
Nanyang;116;CANDIDATE PERDITION;1
Saint-Denis;957;WAR NOTTING;1
Pingxiang;370;GORGEOUS BINGO;1
Urawa;481;JEKYLL FROGMEN;1
Iwatsuki;531;LOSE INCH;1
Dadu;489;JUGGLER HARDLY;1
Miraj;893;TITANS JERK;1
Hsichuh;109;BUTTERFLY CHOCOLAT;1
Kamarhati;673;PERSONAL LADYBUGS;1
Cabuyao;668;PEAK FOREVER;1
Anpolis;525;LOATHING LEGALLY;1
Tiefa;658;PARIS WEEKEND;1
Liepaja;394;HAMLET WISDOM;1
Sivas;593;MONTEREY LABYRINTH;1
So Leopoldo;938;VELVET TERMINATOR;1
Fengshan;421;HOLIDAY GAMES;1
Apeldoorn;532;LOSER HUSTLER;1
Portoviejo;382;GRIT CLOCKWORK;1
Peoria;79;BLADE POLISH;1
Guadalajara;554;MALKOVICH PET;1
Zeleznogorsk;614;NAME DETECTIVE;1
Donostia-San Sebastin;854;STRANGERS GRAFFITI;1
Shahr-e Kord;770;SCISSORHANDS SLUMS;1
Acua;707;QUEST MUSSOLINI;1
Ife;590;MONEY HAROLD;1
Valle de la Pascua;153;CITIZEN SHREK;1
Etawah;274;EGG IGBY;1
Arak;773;SEABISCUIT PUNK;1
Poos de Caldas;489;JUGGLER HARDLY;1
Leshan;631;NOVOCAINE FLIGHT;1
Valle de Santiago;383;GROOVE FICTION;1
Eskisehir;250;DRAGON SQUAD;1
Kingstown;812;SMOKING BARBARELLA;1
Sungai Petani;493;KANE EXORCIST;1
San Felipe del Progreso;831;SPIRITED CASUALTIES;1
Avellaneda;666;PAYCHECK WAIT;1
Akishima;409;HEARTBREAKERS BRIGHT;1
Namibe;158;CLONES PINOCCHIO;1
Katihar;241;DONNIE ALLEY;1
Juiz de Fora;231;DINOSAUR SECRETARY;1
Valle de Santiago;450;IDOLS SNATCHERS;1
Kaliningrad;899;TOWERS HURRICANE;1
Tianjin;129;CAUSE DATE;1
Bern;305;FATAL HAUNTED;1
Iwatsuki;832;SPLASH GUMP;1
Sullana;621;NETWORK PEAK;1
Tianjin;976;WIND PHANTOM;1
Saint-Denis;39;ARMAGEDDON LOST;1
Tonghae;992;WRATH MILE;1
Manchester;326;FLYING HOOK;1
Monclova;10;ALADDIN CALENDAR;1
Robamba;461;INSECTS STONE;1
Jastrzebie-Zdrj;774;SEARCHERS WAIT;1
Botosani;356;GIANT TROOPERS;1
Onomichi;388;GUNFIGHT MOON;1
Patiala;141;CHICAGO NORTH;1
Oulu;391;HALF OUTFIELD;1
Ruse;804;SLEEPING SUSPECTS;1
Pavlodar;402;HARPER DYING;1
Najafabad;284;ENEMY ODDS;1
Yamuna Nagar;897;TORQUE BOUND;1
Chiayi;457;INDEPENDENCE HOTEL;1
Bchar;702;PULP BEVERLY;1
Kursk;780;SENSIBILITY REAR;1
Patiala;237;DIVORCE SHINING;1
Bijapur;891;TIMBERLAND SKY;1
Caracas;167;COMA HEAD;1
Nukualofa;692;POTLUCK MIXED;1
Xiangfan;114;CAMELOT VACATION;1
Purwakarta;778;SECRETS PARADISE;1
Ezeiza;691;POSEIDON FOREVER;1
Yaound;971;WHALE BIKINI;1
Garland;639;OPPOSITE NECKLACE;1
Kingstown;939;VERTIGO NORTHWEST;1
Pangkal Pinang;266;DYNAMITE TARZAN;1
Beni-Mellal;83;BLUES INSTINCT;1
Sanaa;274;EGG IGBY;1
Bislig;247;DOWNHILL ENOUGH;1
Nuuk;350;GARDEN ISLAND;1
Tartu;454;IMPACT ALADDIN;1
Hodeida;402;HARPER DYING;1
Uruapan;446;HYSTERICAL GRAIL;1
Joliet;807;SLEUTH ORIENT;1
Usolje-Sibirskoje;154;CLASH FREDDY;1
Ikerre;71;BILKO ANONYMOUS;1
Omdurman;510;LAWLESS VISION;1
Surakarta;287;ENTRAPMENT SATISFACTION;1
Barcelona;203;DAISY MENAGERIE;1
Ivanovo;536;LOVELY JINGLE;1
Okinawa;646;OUTBREAK DIVINE;1
Smolensk;549;MAGNOLIA FORRESTER;1
Kuwana;875;TALENTED HOMICIDE;1
Zeleznogorsk;717;REAR TRADING;1
Celaya;527;LOLA AGENT;1
Jaroslavl;494;KARATE MOON;1
Fengshan;934;VANILLA DAY;1
Bucuresti;260;DUDE BLINDNESS;1
Oyo;999;ZOOLANDER FICTION;1
Coacalco de Berriozbal;851;STRAIGHT HOURS;1
Kermanshah;249;DRACULA CRYSTAL;1
Jamalpur;749;RULES HUMAN;1
Memphis;715;RANGE MOONWALKER;1
Citrus Heights;738;ROCKETEER MOTHER;1
Aparecida de Goinia;994;WYOMING STORM;1
Saint-Denis;345;GABLES METROPOLIS;1
Crdoba;707;QUEST MUSSOLINI;1
Rizhao;263;DURHAM PANKY;1
Tartu;205;DANCES NONE;1
Ruse;403;HARRY IDAHO;1
Sirjan;551;MAIDEN HOME;1
Novoterkassk;767;SCALAWAG DUCK;1
Kaduna;463;INSTINCT AIRPORT;1
Gorontalo;579;MINDS TRUMAN;1
Kamyin;985;WONDERLAND CHRISTMAS;1
Surakarta;699;PRIVATE DROP;1
Robamba;197;CRUSADE HONEY;1
Zanzibar;421;HOLIDAY GAMES;1
Kamarhati;439;HUNCHBACK IMPOSSIBLE;1
Papeete;552;MAJESTIC FLOATS;1
Weifang;536;LOVELY JINGLE;1
Lincoln;771;SCORPION APOLLO;1
Batna;986;WONKA SEA;1
Vicente Lpez;159;CLOSER BANG;1
Chatsworth;875;TALENTED HOMICIDE;1
Udine;949;VOLCANO TEXAS;1
Brindisi;559;MARRIED GO;1
Iwakuni;887;THIEF PELICAN;1
Southampton;138;CHARIOTS CONSPIRACY;1
San Juan Bautista Tuxtepec;775;SEATTLE EXPECATIONS;1
Tonghae;458;INDIAN LOVE;1
Czestochowa;269;EARRING INSTINCT;1
Osmaniye;247;DOWNHILL ENOUGH;1
Papeete;514;LEBOWSKI SOLDIERS;1
Botosani;850;STORY SIDE;1
Compton;810;SLUMS DUCK;1
Bayugan;336;FRENCH HOLIDAY;1
Madiun;728;REUNION WITCHES;1
Qomsheh;603;MOVIE SHAKESPEARE;1
Ljubertsy;647;OUTFIELD MASSACRE;1
San Bernardino;78;BLACKOUT PRIVATE;1
Koriyama;1000;ZORRO ARK;1
Cape Coral;884;TERMINATOR CLUB;1
San Lorenzo;892;TITANIC BOONDOCK;1
Coatzacoalcos;628;NORTHWEST POLISH;1
Esfahan;816;SNOWMAN ROLLERCOASTER;1
Hidalgo;738;ROCKETEER MOTHER;1
Kamyin;793;SHRUNK DIVINE;1
Iwaki;875;TALENTED HOMICIDE;1
Lilongwe;356;GIANT TROOPERS;1
Merlo;137;CHARADE DUFFEL;1
Sharja;738;ROCKETEER MOTHER;1
Bratislava;296;EXPRESS LONELY;1
Sousse;958;WARDROBE PHANTOM;1
Changhwa;537;LOVER TRUMAN;1
Toulon;751;RUNAWAY TENENBAUMS;1
Mogiljov;697;PRIMARY GLASS;1
Sunnyvale;284;ENEMY ODDS;1
San Bernardino;606;MUMMY CREATURES;1
NDjamna;69;BEVERLY OUTLAW;1
Shanwei;63;BEDAZZLED MARRIED;1
San Felipe del Progreso;546;MADRE GABLES;1
Kitwe;56;BAREFOOT MANCHURIAN;1
Yangor;451;IGBY MAKER;1
Rae Bareli;889;TIES HUNGER;1
Iligan;785;SHAWSHANK BUBBLE;1
Aurora;687;POCUS PULP;1
Adoni;484;JERK PAYCHECK;1
Syktyvkar;958;WARDROBE PHANTOM;1
Onomichi;182;CONTROL ANTHEM;1
Shenzhen;410;HEAVEN FREEDOM;1
Chapra;854;STRANGERS GRAFFITI;1
Hodeida;115;CAMPUS REMEMBER;1
Salala;823;SOUTH WAIT;1
Springs;748;RUGRATS SHAKESPEARE;1
Jastrzebie-Zdrj;361;GLEAMING JAWBREAKER;1
Suihua;259;DUCK RACER;1
Benguela;351;GASLIGHT CRUSADE;1
Xinxiang;956;WANDA CHAMBER;1
Elista;661;PAST SUICIDES;1
Tokat;890;TIGHTS DAWN;1
Hunuco;334;FREDDY STORM;1
Graz;331;FORWARD TEMPLE;1
Kamjanets-Podilskyi;760;SAMURAI LION;1
Bandar Seri Begawan;361;GLEAMING JAWBREAKER;1
Tiefa;496;KICK SAVANNAH;1
Lublin;8;AIRPORT POLLOCK;1
Springs;142;CHICKEN HELLFIGHTERS;1
Pudukkottai;127;CAT CONEHEADS;1
Koriyama;248;DOZEN LION;1
Fukuyama;25;ANGELS LIFE;1
Hoshiarpur;178;CONNECTION MICROCOSMOS;1
Kuching;313;FIDELITY DEVIL;1
Simferopol;530;LORD ARIZONA;1
Araatuba;390;GUYS FALCON;1
Fengshan;921;UNCUT SUICIDES;1
Nyeri;975;WILLOW TRACY;1
Sunnyvale;880;TELEMARK HEARTBREAKERS;1
Bat Yam;435;HOTEL HAPPINESS;1
Nabereznyje Telny;750;RUN PACIFIC;1
Pune;833;SPLENDOR PATTON;1
Benin City;749;RULES HUMAN;1
Saarbrcken;789;SHOCK CABIN;1
Tabuk;918;TWISTED PIRATES;1
Juiz de Fora;985;WONDERLAND CHRISTMAS;1
Ktahya;873;SWEETHEARTS SUSPECTS;1
Arecibo;658;PARIS WEEKEND;1
Tiefa;21;AMERICAN CIRCUS;1
Alvorada;98;BRIGHT ENCOUNTERS;1
Benin City;702;PULP BEVERLY;1
Alessandria;330;FORRESTER COMANCHEROS;1
Meixian;514;LEBOWSKI SOLDIERS;1
Vitria de Santo Anto;805;SLEEPLESS MONSOON;1
Linz;899;TOWERS HURRICANE;1
Brest;826;SPEED SUIT;1
Tanza;723;REIGN GENTLEMEN;1
Tsuyama;638;OPERATION OPERATION;1
South Hill;840;STAMPEDE DISTURBING;1
Sousse;314;FIGHT JAWBREAKER;1
Pak Kret;600;MOTIONS DETAILS;1
Usolje-Sibirskoje;537;LOVER TRUMAN;1
Dayton;540;LUCKY FLYING;1
Valle de Santiago;406;HAUNTING PIANIST;1
Jinchang;324;FLINTSTONES HAPPINESS;1
La Plata;242;DOOM DANCING;1
Shimoga;873;SWEETHEARTS SUSPECTS;1
Bamenda;757;SAGEBRUSH CLUELESS;1
Bellevue;319;FISH OPUS;1
Basel;730;RIDGEMONT SUBMARINE;1
Garland;163;CLYDE THEORY;1
Mwene-Ditu;672;PERFECT GROOVE;1
Baku;308;FERRIS MOTHER;1
Fengshan;889;TIES HUNGER;1
Springs;249;DRACULA CRYSTAL;1
Tandil;176;CONGENIALITY QUEST;1
Grand Prairie;764;SATURDAY LAMBS;1
Ziguinchor;797;SILENCE KANE;1
Shikarpur;968;WEREWOLF LOLA;1
Hagonoy;663;PATIENT SISTER;1
Nagareyama;78;BLACKOUT PRIVATE;1
Shahr-e Kord;865;SUNRISE LEAGUE;1
Hsichuh;524;LION UNCUT;1
Nukualofa;790;SHOOTIST SUPERFLY;1
Portoviejo;850;STORY SIDE;1
Gorontalo;450;IDOLS SNATCHERS;1
Mardan;638;OPERATION OPERATION;1
Dundee;218;DECEIVER BETRAYED;1
Battambang;300;FALCON VOLUME;1
Tanza;869;SUSPECTS QUILLS;1
Chiayi;554;MALKOVICH PET;1
Coquimbo;229;DEVIL DESIRE;1
South Hill;331;FORWARD TEMPLE;1
Poos de Caldas;639;OPPOSITE NECKLACE;1
Liaocheng;878;TEEN APOLLO;1
Abu Dhabi;586;MOCKINGBIRD HOLLYWOOD;1
Rae Bareli;763;SATISFACTION CONFIDENTIAL;1
Kamjanets-Podilskyi;152;CIRCUS YOUTH;1
Emmen;245;DOUBLE WRATH;1
Ocumare del Tuy;706;QUEEN LUKE;1
South Hill;462;INSIDER ARIZONA;1
Sumy;647;OUTFIELD MASSACRE;1
Pemalang;972;WHISPERER GIANT;1
Kingstown;158;CLONES PINOCCHIO;1
Southport;232;DIRTY ACE;1
Vila Velha;916;TURN STAR;1
Blumenau;170;COMMAND DARLING;1
Laiwu;118;CANYON STOCK;1
Hamilton;609;MUSCLE BRIGHT;1
Kirovo-Tepetsk;534;LOUISIANA HARRY;1
Plock;307;FELLOWSHIP AUTUMN;1
NDjamna;338;FRISCO FORREST;1
Linz;288;ESCAPE METROPOLIS;1
Kabul;234;DISTURBING SCARFACE;1
Goinia;986;WONKA SEA;1
Teboksary;172;CONEHEADS SMOOCHY;1
Hiroshima;897;TORQUE BOUND;1
Athenai;202;DADDY PITTSBURGH;1
Huixquilucan;625;NONE SPIKING;1
Tabora;666;PAYCHECK WAIT;1
Owo;972;WHISPERER GIANT;1
Bergamo;901;TRACY CIDER;1
Florencia;818;SOMETHING DUCK;1
Richmond Hill;348;GANDHI KWAI;1
Nantou;511;LAWRENCE LOVE;1
Surakarta;913;TROOPERS METAL;1
Sincelejo;280;EMPIRE MALKOVICH;1
Hoshiarpur;601;MOULIN WAKE;1
Bijapur;554;MALKOVICH PET;1
Springs;880;TELEMARK HEARTBREAKERS;1
Osmaniye;92;BOWFINGER GABLES;1
Pingxiang;59;BEAR GRACELAND;1
Sanya;437;HOUSE DYNAMITE;1
Kamyin;608;MURDER ANTITRUST;1
Tonghae;20;AMELIE HELLFIGHTERS;1
Etawah;816;SNOWMAN ROLLERCOASTER;1
Roanoke;353;GENTLEMEN STAGE;1
Tel Aviv-Jaffa;504;KWAI HOMEWARD;1
Effon-Alaiye;970;WESTWARD SEABISCUIT;1
Eskisehir;278;ELF MURDER;1
Kanchrapara;716;REAP UNFAITHFUL;1
Celaya;72;BILL OTHERS;1
Kolpino;800;SINNERS ATLANTIS;1
Naala-Porto;841;STAR OPERATION;1
Santa Brbara dOeste;838;STAGECOACH ARMAGEDDON;1
Wroclaw;123;CASABLANCA SUPER;1
Bhimavaram;390;GUYS FALCON;1
Balaiha;270;EARTH VISION;1
Kisumu;941;VIDEOTAPE ARSENIC;1
Yangor;75;BIRD INDEPENDENCE;1
Lincoln;601;MOULIN WAKE;1
Yingkou;630;NOTTING SPEAKEASY;1
Zaoyang;746;ROUGE SQUAD;1
Siliguri (Shiliguri);193;CROSSROADS CASUALTIES;1
Cuernavaca;546;MADRE GABLES;1
Uttarpara-Kotrung;864;SUNDANCE INVASION;1
Syrakusa;895;TOMORROW HUSTLER;1
Cuman;665;PATTON INTERVIEW;1
Xinxiang;125;CASSIDY WYOMING;1
Abha;350;GARDEN ISLAND;1
Stara Zagora;773;SEABISCUIT PUNK;1
Rio Claro;443;HURRICANE AFFAIR;1
Vancouver;57;BASIC EASY;1
Maikop;298;EYES DRIVING;1
Springs;109;BUTTERFLY CHOCOLAT;1
Sumy;996;YOUNG LANGUAGE;1
Syktyvkar;402;HARPER DYING;1
Joliet;906;TRAMP OTHERS;1
Coatzacoalcos;6;AGENT TRUMAN;1
Kingstown;350;GARDEN ISLAND;1
Bellevue;344;FURY MURDER;1
Katihar;135;CHANCE RESURRECTION;1
Loja;905;TRAINSPOTTING STRANGERS;1
Dayton;577;MILE MULAN;1
Rio Claro;257;DRUMLINE CYCLONE;1
Baku;900;TOWN ARK;1
Southend-on-Sea;668;PEAK FOREVER;1
Eskisehir;273;EFFECT GLADIATOR;1
Athenai;23;ANACONDA CONFESSIONS;1
Gorontalo;445;HYDE DOCTOR;1
Ljubertsy;621;NETWORK PEAK;1
Salamanca;919;TYCOON GATHERING;1
