cidade;pais_code;estado_code;estado;pais
Campo Limpo de Goiás;BR;29;Goiás;Brazil
Campo Largo;BR;18;Paraná;Brazil
Campo Grande;BR;11;Mato Grosso do Sul;Brazil
Campo Grande;BR;02;Alagoas;Brazil
Campo Formoso;BR;05;Bahia;Brazil
Campo do Brito;BR;28;Sergipe;Brazil
Campo Belo;BR;15;Minas Gerais;Brazil
Campina Verde;BR;15;Minas Gerais;Brazil
Campinas;BR;27;São Paulo;Brazil
Campina Grande do Sul;BR;18;Paraná;Brazil
Nova Campina;BR;27;São Paulo;Brazil
Campina das Missões;BR;23;Rio Grande do Sul;Brazil
Campina do Simão;BR;18;Paraná;Brazil
Campestre;BR;15;Minas Gerais;Brazil
Campanha;BR;15;Minas Gerais;Brazil
Cambuquira;BR;15;Minas Gerais;Brazil
Cambuí;BR;15;Minas Gerais;Brazil
Cambuci;BR;21;Rio de Janeiro;Brazil
Camboriú;BR;26;Santa Catarina;Brazil
Cambé;BR;18;Paraná;Brazil
Cambará do Sul;BR;23;Rio Grande do Sul;Brazil
Cambará;BR;18;Paraná;Brazil
Camaquã;BR;23;Rio Grande do Sul;Brazil
Camapuã;BR;11;Mato Grosso do Sul;Brazil
Camanducaia;BR;15;Minas Gerais;Brazil
Camamu;BR;05;Bahia;Brazil
Camaçari;BR;05;Bahia;Brazil
Caldas Novas;BR;29;Goiás;Brazil
Cajuru;BR;27;São Paulo;Brazil
Cajati;BR;27;São Paulo;Brazil
Cajamar;BR;27;São Paulo;Brazil
Caieiras;BR;27;São Paulo;Brazil
Caiapônia;BR;29;Goiás;Brazil
Cafelândia;BR;27;São Paulo;Brazil
Capitão Andrade;BR;15;Minas Gerais;Brazil
Cafarnaum;BR;05;Bahia;Brazil
Caetité;BR;05;Bahia;Brazil
Caeté;BR;15;Minas Gerais;Brazil
Caculé;BR;05;Bahia;Brazil
Caçu;BR;29;Goiás;Brazil
Caconde;BR;27;São Paulo;Brazil
Cachoeiro de Itapemirim;BR;08;Espírito Santo;Brazil
Cachoeirinha;BR;23;Rio Grande do Sul;Brazil
Cachoeiras de Macacu;BR;21;Rio de Janeiro;Brazil
Cachoeira do Sul;BR;23;Rio Grande do Sul;Brazil
Cachoeira da Prata;BR;15;Minas Gerais;Brazil
Cachoeira;BR;05;Bahia;Brazil
Cacequi;BR;23;Rio Grande do Sul;Brazil
Caçapava do Sul;BR;23;Rio Grande do Sul;Brazil
Caçapava;BR;27;São Paulo;Brazil
Caçador;BR;26;Santa Catarina;Brazil
Cabreúva;BR;27;São Paulo;Brazil
Cabo Frio;BR;21;Rio de Janeiro;Brazil
Governador Mangabeira;BR;05;Bahia;Brazil
Butiá;BR;23;Rio Grande do Sul;Brazil
Cristópolis;BR;05;Bahia;Brazil
Buritizeiro;BR;15;Minas Gerais;Brazil
Buritis;BR;15;Minas Gerais;Brazil
Buriti Alegre;BR;29;Goiás;Brazil
Buritama;BR;27;São Paulo;Brazil
Buri;BR;27;São Paulo;Brazil
Boquim;BR;28;Sergipe;Brazil
Buerarema;BR;05;Bahia;Brazil
Bueno Brandão;BR;15;Minas Gerais;Brazil
Brusque;BR;26;Santa Catarina;Brazil
Brumado;BR;05;Bahia;Brazil
Brumadinho;BR;15;Minas Gerais;Brazil
Brotas;BR;27;São Paulo;Brazil
Brodósqui;BR;27;São Paulo;Brazil
Brejolândia;BR;05;Bahia;Brazil
Brasília de Minas;BR;15;Minas Gerais;Brazil
Brasília;BR;07;Federal District;Brazil
Brás;BR;27;São Paulo;Brazil
Bragança Paulista;BR;27;São Paulo;Brazil
Braço do Norte;BR;26;Santa Catarina;Brazil
Botucatu;BR;27;São Paulo;Brazil
Botelhos;BR;15;Minas Gerais;Brazil
Borrazópolis;BR;18;Paraná;Brazil
Holambra;BR;27;São Paulo;Brazil
Borda da Mata;BR;15;Minas Gerais;Brazil
Borborema;BR;27;São Paulo;Brazil
Boracéia;BR;27;São Paulo;Brazil
Boquira;BR;05;Bahia;Brazil
Bonito;BR;11;Mato Grosso do Sul;Brazil
Bonito de Minas;BR;15;Minas Gerais;Brazil
Bom Sucesso do Sul;BR;18;Paraná;Brazil
Bom Sucesso;BR;15;Minas Gerais;Brazil
Bom Retiro;BR;27;São Paulo;Brazil
Bom Jesus dos Perdões;BR;27;São Paulo;Brazil
Bom Jesus do Itabapoana;BR;21;Rio de Janeiro;Brazil
Bom Jesus do Galho;BR;15;Minas Gerais;Brazil
Bom Jesus do Sul;BR;18;Paraná;Brazil
Bom Jesus da Lapa;BR;05;Bahia;Brazil
Bom Jesus de Goiás;BR;29;Goiás;Brazil
Bom Despacho;BR;15;Minas Gerais;Brazil
Boituva;BR;27;São Paulo;Brazil
Bocaiúva;BR;15;Minas Gerais;Brazil
Boa Ventura de São Roque;BR;18;Paraná;Brazil
Boa Esperança do Sul;BR;27;São Paulo;Brazil
Boa Esperança;BR;15;Minas Gerais;Brazil
Boa Esperança;BR;08;Espírito Santo;Brazil
Blumenau;BR;26;Santa Catarina;Brazil
Biritiba Mirim;BR;27;São Paulo;Brazil
Birigui;BR;27;São Paulo;Brazil
Biguaçu;BR;26;Santa Catarina;Brazil
Wenceslau Braz;BR;15;Minas Gerais;Brazil
Bicas;BR;15;Minas Gerais;Brazil
Betim;BR;15;Minas Gerais;Brazil
Bertioga;BR;27;São Paulo;Brazil
Bernardino de Campos;BR;27;São Paulo;Brazil
Bento Gonçalves;BR;23;Rio Grande do Sul;Brazil
Belo Oriente;BR;15;Minas Gerais;Brazil
Belo Horizonte;BR;15;Minas Gerais;Brazil
Belmonte;BR;05;Bahia;Brazil
Belford Roxo;BR;21;Rio de Janeiro;Brazil
Bela Vista do Paraíso;BR;18;Paraná;Brazil
Bela Vista de Goiás;BR;29;Goiás;Brazil
Bela Vista;BR;11;Mato Grosso do Sul;Brazil
Bebedouro;BR;27;São Paulo;Brazil
Bauru;BR;27;São Paulo;Brazil
Batatais;BR;27;São Paulo;Brazil
Bataiporã;BR;11;Mato Grosso do Sul;Brazil
Bastos;BR;27;São Paulo;Brazil
Barueri;BR;27;São Paulo;Brazil
Barroso;BR;15;Minas Gerais;Brazil
Barro Alto;BR;29;Goiás;Brazil
Barro Alto;BR;05;Bahia;Brazil
Barrinha;BR;27;São Paulo;Brazil
Barretos;BR;27;São Paulo;Brazil
Barreiro do Jaíba;BR;15;Minas Gerais;Brazil
Porto Barreiro;BR;18;Paraná;Brazil
Barreiras;BR;05;Bahia;Brazil
Barra Velha;BR;26;Santa Catarina;Brazil
Barra Mansa;BR;21;Rio de Janeiro;Brazil
Barra dos Coqueiros;BR;28;Sergipe;Brazil
Barra do Piraí;BR;21;Rio de Janeiro;Brazil
Barra do Garças;BR;14;Mato Grosso;Brazil
Barra do Bugres;BR;14;Mato Grosso;Brazil
Balneário Barra do Sul;BR;26;Santa Catarina;Brazil
Barra de São Francisco;BR;08;Espírito Santo;Brazil
Barra da Estiva;BR;05;Bahia;Brazil
Barra Bonita;BR;27;São Paulo;Brazil
Barra;BR;05;Bahia;Brazil
Bariri;BR;27;São Paulo;Brazil
Barbacena;BR;15;Minas Gerais;Brazil
Barão de Melgaço;BR;14;Mato Grosso;Brazil
Barão de Cocais;BR;15;Minas Gerais;Brazil
Bandeirantes;BR;18;Paraná;Brazil
Nacip Raydan;BR;15;Minas Gerais;Brazil
Bambuí;BR;15;Minas Gerais;Brazil
Balneário Rincão;BR;26;Santa Catarina;Brazil
Balneário Camboriú;BR;26;Santa Catarina;Brazil
Santa Helena de Minas;BR;15;Minas Gerais;Brazil
Baixo Guandu;BR;08;Espírito Santo;Brazil
Baixa Grande;BR;05;Bahia;Brazil
Novo Barreiro;BR;23;Rio Grande do Sul;Brazil
Bagé;BR;23;Rio Grande do Sul;Brazil
Baependi;BR;15;Minas Gerais;Brazil
Bady Bassitt;BR;27;São Paulo;Brazil
Santo Antônio do Aventureiro;BR;15;Minas Gerais;Brazil
Avaré;BR;27;São Paulo;Brazil
Avanhandava;BR;27;São Paulo;Brazil
Avaí;BR;27;São Paulo;Brazil
São José dos Ausentes;BR;23;Rio Grande do Sul;Brazil
Auriflama;BR;27;São Paulo;Brazil
Pontão;BR;23;Rio Grande do Sul;Brazil
Atibaia;BR;27;São Paulo;Brazil
Astorga;BR;18;Paraná;Brazil
Astolfo Dutra;BR;15;Minas Gerais;Brazil
Assis;BR;27;São Paulo;Brazil
Assaí;BR;18;Paraná;Brazil
Arujá;BR;27;São Paulo;Brazil
Artur Nogueira;BR;27;São Paulo;Brazil
Arroio Grande;BR;23;Rio Grande do Sul;Brazil
Arroio dos Ratos;BR;23;Rio Grande do Sul;Brazil
Balneário Arroio do Silva;BR;26;Santa Catarina;Brazil
Arroio do Meio;BR;23;Rio Grande do Sul;Brazil
Imigrante;BR;23;Rio Grande do Sul;Brazil
Arraias;BR;31;Tocantins;Brazil
Arraial do Cabo;BR;21;Rio de Janeiro;Brazil
Armação dos Búzios;BR;21;Rio de Janeiro;Brazil
Armação;BR;26;Santa Catarina;Brazil
Ariranha;BR;27;São Paulo;Brazil
Arinos;BR;15;Minas Gerais;Brazil
Aricanduva;BR;15;Minas Gerais;Brazil
Arenápolis;BR;14;Mato Grosso;Brazil
Areiópolis;BR;27;São Paulo;Brazil
Areias;BR;27;São Paulo;Brazil
Areia Branca;BR;28;Sergipe;Brazil
Arealva;BR;27;São Paulo;Brazil
Areal;BR;21;Rio de Janeiro;Brazil
Areado;BR;15;Minas Gerais;Brazil
Arcos;BR;15;Minas Gerais;Brazil
Arco Íris;BR;27;São Paulo;Brazil
Araxá;BR;15;Minas Gerais;Brazil
Araucária;BR;18;Paraná;Brazil
Arauá;BR;28;Sergipe;Brazil
Araruama;BR;21;Rio de Janeiro;Brazil
Araras;BR;27;São Paulo;Brazil
Araraquara;BR;27;São Paulo;Brazil
Araranguá;BR;26;Santa Catarina;Brazil
Arapongas;BR;18;Paraná;Brazil
Arapeí;BR;27;São Paulo;Brazil
Arandu;BR;27;São Paulo;Brazil
Aramina;BR;27;São Paulo;Brazil
Araguari;BR;15;Minas Gerais;Brazil
Araguaiana;BR;14;Mato Grosso;Brazil
Aragarças;BR;29;Goiás;Brazil
Araçuaí;BR;15;Minas Gerais;Brazil
Aracruz;BR;08;Espírito Santo;Brazil
Araçoiaba da Serra;BR;27;São Paulo;Brazil
Araci;BR;05;Bahia;Brazil
Araçatuba;BR;27;São Paulo;Brazil
Araçariguama;BR;27;São Paulo;Brazil
Aracaju;BR;28;Sergipe;Brazil
Aquidauana;BR;11;Mato Grosso do Sul;Brazil
Aquidabã;BR;28;Sergipe;Brazil
Apucarana;BR;18;Paraná;Brazil
Apiaí;BR;27;São Paulo;Brazil
Aparecida do Taboado;BR;11;Mato Grosso do Sul;Brazil
Aparecida d'Oeste;BR;27;São Paulo;Brazil
Aparecida;BR;27;São Paulo;Brazil
Antônio Prado de Minas;BR;15;Minas Gerais;Brazil
Antonina;BR;18;Paraná;Brazil
São Sebastião do Anta;BR;15;Minas Gerais;Brazil
Anitápolis;BR;26;Santa Catarina;Brazil
Anicuns;BR;29;Goiás;Brazil
Anhumas;BR;27;São Paulo;Brazil
Anhembi;BR;27;São Paulo;Brazil
Anguera;BR;05;Bahia;Brazil
Angra dos Reis;BR;21;Rio de Janeiro;Brazil
Angatuba;BR;27;São Paulo;Brazil
Andrelândia;BR;15;Minas Gerais;Brazil
Cachoeira de Pajeú;BR;15;Minas Gerais;Brazil
Andradina;BR;27;São Paulo;Brazil
Andradas;BR;15;Minas Gerais;Brazil
Anastácio;BR;11;Mato Grosso do Sul;Brazil
Anápolis;BR;29;Goiás;Brazil
Analândia;BR;27;São Paulo;Brazil
Anagé;BR;05;Bahia;Brazil
Ampére;BR;18;Paraná;Brazil
Amparo;BR;27;São Paulo;Brazil
Américo de Campos;BR;27;São Paulo;Brazil
Américo Brasiliense;BR;27;São Paulo;Brazil
Americana;BR;27;São Paulo;Brazil
América Dourada;BR;05;Bahia;Brazil
Amargosa;BR;05;Bahia;Brazil
Nova Alvorada;BR;23;Rio Grande do Sul;Brazil
Alvorada;BR;31;Tocantins;Brazil
Alvinópolis;BR;15;Minas Gerais;Brazil
Alvinlândia;BR;27;São Paulo;Brazil
Álvaro de Carvalho;BR;27;São Paulo;Brazil
Álvares Machado;BR;27;São Paulo;Brazil
Álvares Florence;BR;27;São Paulo;Brazil
Alto Piquiri;BR;18;Paraná;Brazil
Alto Paraná;BR;18;Paraná;Brazil
Altãnia;BR;18;Paraná;Brazil
Alto Araguaia;BR;14;Mato Grosso;Brazil
Alto Alegre;BR;27;São Paulo;Brazil
Altinópolis;BR;27;São Paulo;Brazil
Alterosa;BR;15;Minas Gerais;Brazil
Altair;BR;27;São Paulo;Brazil
Alpinópolis;BR;15;Minas Gerais;Brazil
Almirante Tamandaré;BR;18;Paraná;Brazil
Almenara;BR;15;Minas Gerais;Brazil
Presidente Tancredo Neves;BR;05;Bahia;Brazil
Alfredo Marcondes;BR;27;São Paulo;Brazil
Alfredo Chaves;BR;08;Espírito Santo;Brazil
Alfenas;BR;15;Minas Gerais;Brazil
Além Paraíba;BR;15;Minas Gerais;Brazil
Alegrete;BR;23;Rio Grande do Sul;Brazil
Alegre;BR;08;Espírito Santo;Brazil
Alambari;BR;27;São Paulo;Brazil
Alagoinhas;BR;05;Bahia;Brazil
Aimorés;BR;15;Minas Gerais;Brazil
Águia Branca;BR;08;Espírito Santo;Brazil
Agudos;BR;27;São Paulo;Brazil
Águas Vermelhas;BR;15;Minas Gerais;Brazil
Águas Formosas;BR;15;Minas Gerais;Brazil
Águas de São Pedro;BR;27;São Paulo;Brazil
Águas de Lindóia;BR;27;São Paulo;Brazil
Águas da Prata;BR;27;São Paulo;Brazil
Água Rasa;BR;15;Minas Gerais;Brazil
Aguaí;BR;27;São Paulo;Brazil
Água Doce do Norte;BR;08;Espírito Santo;Brazil
Afonso Cláudio;BR;08;Espírito Santo;Brazil
Santo Afonso;BR;14;Mato Grosso;Brazil
Adolfo;BR;27;São Paulo;Brazil
Adamantina;BR;27;São Paulo;Brazil
Açucena;BR;15;Minas Gerais;Brazil
Acajutiba;BR;05;Bahia;Brazil
Abaeté;BR;15;Minas Gerais;Brazil
Abadiânia;BR;29;Goiás;Brazil
Guaíba;BR;23;Rio Grande do Sul;Brazil
Palmas;BR;31;Tocantins;Brazil
Pontal do Paraná;BR;18;Paraná;Brazil
Pugmil;BR;31;Tocantins;Brazil
Santa Rita do Tocantins;BR;31;Tocantins;Brazil
Crixás do Tocantins;BR;31;Tocantins;Brazil
Universidade Rural;BR;21;Rio de Janeiro;Brazil
Icaraí de Minas;BR;15;Minas Gerais;Brazil
Vale do Anari;BR;24;Rondônia;Brazil
Uarini;BR;04;Amazonas;Brazil
Tonantins;BR;04;Amazonas;Brazil
Tefé;BR;04;Amazonas;Brazil
Marechal Thaumaturgo;BR;01;Acre;Brazil
Tarauacá;BR;01;Acre;Brazil
Tabatinga;BR;04;Amazonas;Brazil
Sena Madureira;BR;01;Acre;Brazil
São Paulo de Olivença;BR;04;Amazonas;Brazil
São Gabriel da Cachoeira;BR;04;Amazonas;Brazil
Santo Antônio do Içá;BR;04;Amazonas;Brazil
Santa Rosa do Purus;BR;01;Acre;Brazil
Santa Isabel do Rio Negro;BR;04;Amazonas;Brazil
Rio Branco;BR;01;Acre;Brazil
Porto Walter;BR;01;Acre;Brazil
Porto Velho;BR;24;Rondônia;Brazil
Pauini;BR;04;Amazonas;Brazil
Novo Aripuanã;BR;04;Amazonas;Brazil
Maraã;BR;04;Amazonas;Brazil
Manoel Urbano;BR;01;Acre;Brazil
Manicoré;BR;04;Amazonas;Brazil
Mâncio Lima;BR;01;Acre;Brazil
Manaus;BR;04;Amazonas;Brazil
Manaquiri;BR;04;Amazonas;Brazil
Manacapuru;BR;04;Amazonas;Brazil
Jutaí;BR;04;Amazonas;Brazil
Jutaí;BR;04;Amazonas;Brazil
Humaitá;BR;04;Amazonas;Brazil
Fonte Boa;BR;04;Amazonas;Brazil
Feijó;BR;01;Acre;Brazil
Envira;BR;04;Amazonas;Brazil
Eirunepé;BR;04;Amazonas;Brazil
Cruzeiro do Sul;BR;01;Acre;Brazil
Rodrigues Alves;BR;01;Acre;Brazil
Codajás;BR;04;Amazonas;Brazil
Coari;BR;04;Amazonas;Brazil
Carauari;BR;04;Amazonas;Brazil
Caracaraí;BR;25;Roraima;Brazil
Canutama;BR;04;Amazonas;Brazil
Boca do Acre;BR;04;Amazonas;Brazil
Boa Vista;BR;25;Roraima;Brazil
Benjamin Constant;BR;04;Amazonas;Brazil
Barcelos;BR;04;Amazonas;Brazil
Ariquemes;BR;24;Rondônia;Brazil
Aripuanã;BR;14;Mato Grosso;Brazil
Anori;BR;04;Amazonas;Brazil
Alvarães;BR;04;Amazonas;Brazil
Iranduba;BR;04;Amazonas;Brazil
Colônia Boa Vista;BR;04;Amazonas;Brazil
Xapuri;BR;01;Acre;Brazil
Vilhena;BR;24;Rondônia;Brazil
Senador Guiomard;BR;01;Acre;Brazil
Presidente Médici;BR;24;Rondônia;Brazil
Rolim de Moura do Guaporé;BR;24;Rondônia;Brazil
Plácido de Castro;BR;01;Acre;Brazil
Pimenteiras do Oeste;BR;24;Rondônia;Brazil
Pimenta Bueno;BR;24;Rondônia;Brazil
Ouro Preto do Oeste;BR;24;Rondônia;Brazil
Ji Paraná;BR;24;Rondônia;Brazil
Jaru;BR;24;Rondônia;Brazil
Guajará Mirim;BR;24;Rondônia;Brazil
Cacoal;BR;24;Rondônia;Brazil
Brasiléia;BR;01;Acre;Brazil
Assis Brasil;BR;01;Acre;Brazil
Açailândia;BR;13;Maranhão;Brazil
Águas de Santa Bárbara;BR;27;São Paulo;Brazil
Alta Floresta;BR;14;Mato Grosso;Brazil
Alto Alegre;BR;25;Roraima;Brazil
Alumínio;BR;27;São Paulo;Brazil
Amajari;BR;25;Roraima;Brazil
Antônio Cardoso;BR;05;Bahia;Brazil
Aparecida de Goiânia;BR;29;Goiás;Brazil
Araguanã;BR;13;Maranhão;Brazil
Aspásia;BR;27;São Paulo;Brazil
Bonfim;BR;25;Roraima;Brazil
Campinas;BR;26;Santa Catarina;Brazil
Cantá;BR;25;Roraima;Brazil
Caroebe;BR;25;Roraima;Brazil
Cutias;BR;03;Amapá;Brazil
Ermelino Matarazzo;BR;27;São Paulo;Brazil
Fernando de Noronha (Distrito Estadual);BR;30;Pernambuco;Brazil
Iracema;BR;25;Roraima;Brazil
Itaim Paulista;BR;27;São Paulo;Brazil
Jaboatão dos Guararapes;BR;30;Pernambuco;Brazil
Lago dos Rodrigues;BR;13;Maranhão;Brazil
Laranjal do Jari;BR;03;Amapá;Brazil
Lauro de Freitas;BR;05;Bahia;Brazil
Minaçu;BR;29;Goiás;Brazil
Monte Verde;BR;15;Minas Gerais;Brazil
Mucajaí;BR;25;Roraima;Brazil
Normandia;BR;25;Roraima;Brazil
Ourilândia do Norte;BR;16;Pará;Brazil
Pacaraima;BR;25;Roraima;Brazil
Parauapebas;BR;16;Pará;Brazil
Patos do Piauí;BR;20;Piauí;Brazil
Pedra Branca do Amapari;BR;03;Amapá;Brazil
Pinhais;BR;18;Paraná;Brazil
Portelândia;BR;29;Goiás;Brazil
Pracuúba;BR;03;Amapá;Brazil
Redenção;BR;16;Pará;Brazil
Rio Preto da Eva;BR;04;Amazonas;Brazil
Rorainópolis;BR;25;Roraima;Brazil
Santa Maria de Jetibá;BR;08;Espírito Santo;Brazil
Santa Rosa do Purus;BR;01;Acre;Brazil
São João da Baliza;BR;25;Roraima;Brazil
São Luiz;BR;25;Roraima;Brazil
São Mateus;BR;27;São Paulo;Brazil
São Roque de Minas;BR;15;Minas Gerais;Brazil
Sapopemba;BR;27;São Paulo;Brazil
Simões Filho;BR;05;Bahia;Brazil
Sinop;BR;14;Mato Grosso;Brazil
Tangará da Serra;BR;14;Mato Grosso;Brazil
Taquarussu;BR;11;Mato Grosso do Sul;Brazil
Teixeira de Freitas;BR;05;Bahia;Brazil
Tucumã;BR;16;Pará;Brazil
Uiramutã;BR;25;Roraima;Brazil
Vargem Grande Paulista;BR;27;São Paulo;Brazil
Vitória do Jari;BR;03;Amapá;Brazil
Xinguara;BR;16;Pará;Brazil
Barra da Tijuca;BR;21;Rio de Janeiro;Brazil
Tatuapé;BR;27;São Paulo;Brazil
Consolação;BR;27;São Paulo;Brazil
Rocinha;BR;21;Rio de Janeiro;Brazil
Pirituba;BR;27;São Paulo;Brazil
Limão;BR;27;São Paulo;Brazil
Vila Galvão;BR;27;São Paulo;Brazil
Jardim Paulista;BR;27;São Paulo;Brazil
Dona Emma;BR;26;Santa Catarina;Brazil
Vitor Meireles;BR;26;Santa Catarina;Brazil
Itacorubi;BR;26;Santa Catarina;Brazil
Corrego Grande;BR;26;Santa Catarina;Brazil
Santa Monica;BR;26;Santa Catarina;Brazil
Carvoeira;BR;26;Santa Catarina;Brazil
Trindade;BR;26;Santa Catarina;Brazil
Morro da Cruz;BR;26;Santa Catarina;Brazil
Saco dos Limoes;BR;26;Santa Catarina;Brazil
Pantanal;BR;26;Santa Catarina;Brazil
Costeira do Pirajubae;BR;26;Santa Catarina;Brazil
Carianos;BR;26;Santa Catarina;Brazil
Tapera;BR;26;Santa Catarina;Brazil
Freguesia do Ribeirao da Ilha;BR;26;Santa Catarina;Brazil
Instituto de Biociências;BR;27;São Paulo;Brazil
São Manoel do Paraná;BR;18;Paraná;Brazil
Olho d’Água das Cunhãs;BR;13;Maranhão;Brazil
Paço do Lumiar;BR;13;Maranhão;Brazil
Sooretama;BR;08;Espírito Santo;Brazil
Teotônio Vilela;BR;02;Alagoas;Brazil
Sigefredo Pacheco;BR;20;Piauí;Brazil
Lagoa do Barro do Piauí;BR;20;Piauí;Brazil
São Francisco de Assis do Piauí;BR;20;Piauí;Brazil
Júlio Borges;BR;20;Piauí;Brazil
Dirceu Arcoverde;BR;20;Piauí;Brazil
Nova Redenção;BR;05;Bahia;Brazil
Muquém do São Francisco;BR;05;Bahia;Brazil
Mirassol d'Oeste;BR;14;Mato Grosso;Brazil
União de Minas;BR;15;Minas Gerais;Brazil
São Simão;BR;29;Goiás;Brazil
Gouvelândia;BR;29;Goiás;Brazil
Figueirão;BR;11;Mato Grosso do Sul;Brazil
Urupá;BR;24;Rondônia;Brazil
Brasilândia de Minas;BR;15;Minas Gerais;Brazil
Bom Sucesso de Itararé;BR;27;São Paulo;Brazil
Água Fria de Goiás;BR;29;Goiás;Brazil
Montividiu do Norte;BR;29;Goiás;Brazil
Novo Santo Antônio;BR;14;Mato Grosso;Brazil
Ministro Andreazza;BR;24;Rondônia;Brazil
Castanheiras;BR;24;Rondônia;Brazil
Novo Horizonte do Oeste;BR;24;Rondônia;Brazil
Garrafão do Norte;BR;16;Pará;Brazil
São João do Itaperiú;BR;26;Santa Catarina;Brazil
Alta Floresta d’Oeste;BR;24;Rondônia;Brazil
Nova Colinas;BR;13;Maranhão;Brazil
Babaçulândia;BR;31;Tocantins;Brazil
Pontal do Araguaia;BR;14;Mato Grosso;Brazil
Governador Edison Lobão;BR;13;Maranhão;Brazil
Vila Santa Maria;BR;04;Amazonas;Brazil
Brasil Novo;BR;16;Pará;Brazil
Atins;BR;13;Maranhão;Brazil
Residencia Moacir PU5BHV;BR;26;Santa Catarina;Brazil
Beira Rio;BR;05;Bahia;Brazil
Butia Inferior;BR;23;Rio Grande do Sul;Brazil
Nova Olina do Marnhao;BR;13;Maranhão;Brazil
Itaim Bibi;BR;27;São Paulo;Brazil
Moema;BR;27;São Paulo;Brazil
Planaltina;BR;07;Federal District;Brazil
Extrema;BR;24;Rondônia;Brazil
Paraíso;BR;27;São Paulo;Brazil
Grajaú;BR;27;São Paulo;Brazil
Tremembé;BR;27;São Paulo;Brazil
Artur Alvim;BR;27;São Paulo;Brazil
Anhanguera;BR;27;São Paulo;Brazil
Cidade Dutra;BR;27;São Paulo;Brazil
Capao Redondo;BR;27;São Paulo;Brazil
Casa Verde;BR;27;São Paulo;Brazil
Iguatemi;BR;27;São Paulo;Brazil
Sao Lucas;BR;27;São Paulo;Brazil
Socorro;BR;27;São Paulo;Brazil
Rio Pequeno;BR;27;São Paulo;Brazil
Carrao;BR;27;São Paulo;Brazil
Agua Rasa;BR;27;São Paulo;Brazil
Alto De Pinheiros;BR;27;São Paulo;Brazil
Cidade Lider;BR;27;São Paulo;Brazil
Aricanduva;BR;27;São Paulo;Brazil
Jacana;BR;27;São Paulo;Brazil
Jaguara;BR;27;São Paulo;Brazil
Lajeado;BR;27;São Paulo;Brazil
Jabaquara;BR;27;São Paulo;Brazil
Jose Bonifacio;BR;27;São Paulo;Brazil
Cidade Ademar;BR;27;São Paulo;Brazil
Barra Funda;BR;27;São Paulo;Brazil
Belem;BR;27;São Paulo;Brazil
Brasilandia;BR;27;São Paulo;Brazil
Butanta;BR;27;São Paulo;Brazil
Cangaiba;BR;27;São Paulo;Brazil
Cambuci;BR;27;São Paulo;Brazil
Campo Belo;BR;27;São Paulo;Brazil
Cursino;BR;27;São Paulo;Brazil
Mooca;BR;27;São Paulo;Brazil
Vila Prudente;BR;27;São Paulo;Brazil
Morumbi;BR;27;São Paulo;Brazil
Pedreira;BR;27;São Paulo;Brazil
Mandaqui;BR;27;São Paulo;Brazil
Cachoeirinha;BR;27;São Paulo;Brazil
Jardim Angela;BR;27;São Paulo;Brazil
Pari;BR;27;São Paulo;Brazil
Vila Formosa;BR;27;São Paulo;Brazil
Vila Guilherme;BR;27;São Paulo;Brazil
Vila Jacui;BR;27;São Paulo;Brazil
Vila Matilde;BR;27;São Paulo;Brazil
Vila Medeiros;BR;27;São Paulo;Brazil
Santa Cecilia;BR;27;São Paulo;Brazil
Parque Do Carmo;BR;27;São Paulo;Brazil
Perdizes;BR;27;São Paulo;Brazil
Ponte Rasa;BR;27;São Paulo;Brazil
Raposo Tavares;BR;27;São Paulo;Brazil
Sao Domingos;BR;27;São Paulo;Brazil
Se;BR;27;São Paulo;Brazil
Vila Leopoldina;BR;27;São Paulo;Brazil
Jaguare;BR;27;São Paulo;Brazil
Cidade Tiradentes;BR;27;São Paulo;Brazil
Bela Vista;BR;27;São Paulo;Brazil
Jardim Helena;BR;27;São Paulo;Brazil
Jardim Sao Luis;BR;27;São Paulo;Brazil
Republica;BR;27;São Paulo;Brazil
Sacoma;BR;27;São Paulo;Brazil
Sao Rafael;BR;27;São Paulo;Brazil
Vila Andrade;BR;27;São Paulo;Brazil
Vila Curuca;BR;27;São Paulo;Brazil
São Pedro;BR;21;Rio de Janeiro;Brazil
Serra Nova Dourada;BR;14;Mato Grosso;Brazil
Pingo-d'Água;BR;15;Minas Gerais;Brazil
Bosque Saúde;BR;27;São Paulo;Brazil
Bairro da Penha;BR;27;São Paulo;Brazil
Bairro Parque Nossa Senhora do Carmo;BR;27;São Paulo;Brazil
Imbé;BR;23;Rio Grande do Sul;Brazil
Casserengue;BR;17;Paraíba;Brazil
Damião;BR;17;Paraíba;Brazil
Pedro Régis;BR;17;Paraíba;Brazil
Caldas Brandão;BR;17;Paraíba;Brazil
Jundiá;BR;22;Rio Grande do Norte;Brazil
Logradouro;BR;17;Paraíba;Brazil
Riachão;BR;17;Paraíba;Brazil
São Francisco do Oeste;BR;22;Rio Grande do Norte;Brazil
Rolim de Moura;BR;24;Rondônia;Brazil
Vila Nova dos Martírios;BR;13;Maranhão;Brazil
Nova Ubiratã;BR;14;Mato Grosso;Brazil
Vitória do Jari;BR;03;Amapá;Brazil
Bernardo do Mearim;BR;13;Maranhão;Brazil
Boa Hora;BR;20;Piauí;Brazil
Pau d'Arco do Piauí;BR;20;Piauí;Brazil
Joselândia;BR;13;Maranhão;Brazil
Porto Rico do Maranhão;BR;13;Maranhão;Brazil
