cidade;pais_code;estado_code;estado
Turvolândia;BR;15;Minas Gerais
Santo Antônio do Retiro;BR;15;Minas Gerais
Resplendor;BR;15;Minas Gerais
Reserva do Iguaçu;BR;18;Paraná
Reserva;BR;18;Paraná
Resende;BR;21;Rio de Janeiro
Registro;BR;27;São Paulo
Regente Feijó;BR;27;São Paulo
Recreio;BR;15;Minas Gerais
Realeza;BR;18;Paraná
Raposos;BR;15;Minas Gerais
Rancharia;BR;27;São Paulo
Nova Ramada;BR;23;Rio Grande do Sul
Quirinópolis;BR;29;Goiás
Quijingue;BR;05;Bahia
Queimados;BR;21;Rio de Janeiro
Queimadas;BR;05;Bahia
Marmelópolis;BR;15;Minas Gerais
Quatro Barras;BR;18;Paraná
Quatis;BR;21;Rio de Janeiro
Quatá;BR;27;São Paulo
Quaraí;BR;23;Rio Grande do Sul
Prudentópolis;BR;18;Paraná
Propriá;BR;28;Sergipe
Promissão;BR;27;São Paulo
Primavera do Leste;BR;14;Mato Grosso
Presidente Venceslau;BR;27;São Paulo
Alto Jequitibá;BR;15;Minas Gerais
Presidente Prudente;BR;27;São Paulo
Presidente Olegário;BR;15;Minas Gerais
Presidente Epitácio;BR;27;São Paulo
Presidente Bernardes;BR;27;São Paulo
Prata;BR;15;Minas Gerais
Praia Grande;BR;27;São Paulo
Pradópolis;BR;27;São Paulo
Prado;BR;05;Bahia
Poxoréo;BR;14;Mato Grosso
Pouso Alegre;BR;15;Minas Gerais
Posse;BR;29;Goiás
Porto União;BR;26;Santa Catarina
Porto Seguro;BR;05;Bahia
Porto Real do Colégio;BR;02;Alagoas
Porto Real;BR;21;Rio de Janeiro
Porto Murtinho;BR;11;Mato Grosso do Sul
Porto Ferreira;BR;27;São Paulo
Porto Feliz;BR;27;São Paulo
Euclides da Cunha Paulista;BR;27;São Paulo
Porto Belo;BR;26;Santa Catarina
Pôrto Barra do Ivinheima;BR;11;Mato Grosso do Sul
Angélica;BR;11;Mato Grosso do Sul
Porto Alegre;BR;23;Rio Grande do Sul
Porteirinha;BR;15;Minas Gerais
Portão;BR;23;Rio Grande do Sul
Porecatu;BR;18;Paraná
Porciúncula;BR;21;Rio de Janeiro
Porangatu;BR;29;Goiás
Porangaba;BR;27;São Paulo
Ponto Novo;BR;05;Bahia
Pontes e Lacerda;BR;14;Mato Grosso
Ponte Nova;BR;15;Minas Gerais
Presidente Juscelino;BR;15;Minas Gerais
Ribeirãozinho;BR;14;Mato Grosso
Ponta Porã;BR;11;Mato Grosso do Sul
Pontalina;BR;29;Goiás
Pontal;BR;27;São Paulo
Ponta Grossa;BR;18;Paraná
Pompéu;BR;15;Minas Gerais
Pompéu;BR;15;Minas Gerais
Pompéia;BR;27;São Paulo
Pomerode;BR;26;Santa Catarina
Poço Verde;BR;28;Sergipe
Poços de Caldas;BR;15;Minas Gerais
Poconé;BR;14;Mato Grosso
Poções;BR;05;Bahia
Poá;BR;27;São Paulo
Planaltina;BR;29;Goiás
Piúma;BR;08;Espírito Santo
Piuí;BR;15;Minas Gerais
Pitangui;BR;15;Minas Gerais
Pitangueiras;BR;27;São Paulo
Pitanga;BR;18;Paraná
Piritiba;BR;05;Bahia
Pires do Rio;BR;29;Goiás
Pirenópolis;BR;29;Goiás
Piraquara;BR;18;Paraná
Pirapozinho;BR;27;São Paulo
Pirapora do Bom Jesus;BR;27;São Paulo
Pirapora;BR;15;Minas Gerais
Piranhas;BR;29;Goiás
Pirajuí;BR;27;São Paulo
Piraju;BR;27;São Paulo
Piraí do Sul;BR;18;Paraná
Piraí;BR;21;Rio de Janeiro
Pirassununga;BR;27;São Paulo
Piracicaba;BR;27;São Paulo
Piracanjuba;BR;29;Goiás
Piracaia;BR;27;São Paulo
Piquete;BR;27;São Paulo
Pinheiros;BR;27;São Paulo
Pinheiro;BR;23;Rio Grande do Sul
Pinheiro Machado;BR;23;Rio Grande do Sul
Pinheiral;BR;21;Rio de Janeiro
Pinhão;BR;18;Paraná
Janiópolis;BR;18;Paraná
Balneário Pinhal;BR;23;Rio Grande do Sul
Espírito Santo do Pinhal;BR;27;São Paulo
Pindorama;BR;27;São Paulo
Pindobaçu;BR;05;Bahia
Pindamonhangaba;BR;27;São Paulo
Pilar do Sul;BR;27;São Paulo
Piedade;BR;27;São Paulo
Piedade de Caratinga;BR;15;Minas Gerais
Nova Hartz;BR;23;Rio Grande do Sul
Piaçabuçu;BR;02;Alagoas
Petrópolis;BR;21;Rio de Janeiro
Petrolina de Goiás;BR;29;Goiás
Perus;BR;27;São Paulo
Peruíbe;BR;27;São Paulo
Pérola d'Oeste;BR;18;Paraná
Doresópolis;BR;15;Minas Gerais
Planalto;BR;05;Bahia
Pereira Barreto;BR;27;São Paulo
Perdões;BR;15;Minas Gerais
Penha;BR;26;Santa Catarina
Penedo;BR;02;Alagoas
Penápolis;BR;27;São Paulo
Serra Dourada;BR;05;Bahia
Pelotas;BR;23;Rio Grande do Sul
Pedro Leopoldo;BR;15;Minas Gerais
Pedrinhas Paulista;BR;27;São Paulo
Pedreira;BR;27;São Paulo
Pedregulho;BR;27;São Paulo
Pedrão;BR;05;Bahia
Pedra Azul;BR;15;Minas Gerais
Pederneiras;BR;27;São Paulo
Peçanha;BR;15;Minas Gerais
Peabiru;BR;18;Paraná
Paulínia;BR;27;São Paulo
Pau Brasil;BR;05;Bahia
Patrocínio;BR;15;Minas Gerais
Pinheiros;BR;08;Espírito Santo
Patos de Minas;BR;15;Minas Gerais
Pato Branco;BR;18;Paraná
Paty do Alferes;BR;21;Rio de Janeiro
Posto da Mata;BR;05;Bahia
Passos;BR;15;Minas Gerais
Passo Fundo;BR;23;Rio Grande do Sul
Alvorada;BR;23;Rio Grande do Sul
Passa Quatro;BR;15;Minas Gerais
Parobé;BR;23;Rio Grande do Sul
Pariquera Açu;BR;27;São Paulo
Paripiranga;BR;05;Bahia
Parelheiros;BR;27;São Paulo
Paraúna;BR;29;Goiás
Paratinga;BR;05;Bahia
Rafael Jambeiro;BR;05;Bahia
Paraty;BR;21;Rio de Janeiro
Paranhos;BR;11;Mato Grosso do Sul
Paranavaí;BR;18;Paraná
Paranapuã;BR;27;São Paulo
Paranapanema;BR;27;São Paulo
Paranaíba;BR;11;Mato Grosso do Sul
Paranaguá;BR;18;Paraná
Paramirim;BR;05;Bahia
Paraisópolis;BR;15;Minas Gerais
Paraíso;BR;27;São Paulo
Paraíso das Águas;BR;11;Mato Grosso do Sul
Paraíba do Sul;BR;21;Rio de Janeiro
Paraguaçu Paulista;BR;27;São Paulo
Paraguaçu;BR;15;Minas Gerais
Pará de Minas;BR;15;Minas Gerais
Paracatu;BR;15;Minas Gerais
Paracambi;BR;21;Rio de Janeiro
Papagaios;BR;15;Minas Gerais
Pantano do Sul;BR;26;Santa Catarina
Panorama;BR;27;São Paulo
Pancas;BR;08;Espírito Santo
Panambi;BR;23;Rio Grande do Sul
Fronteira dos Vales;BR;15;Minas Gerais
Palotina;BR;18;Paraná
Palmital;BR;27;São Paulo
Palmeiras de Goiás;BR;29;Goiás
Palmeira das Missões;BR;23;Rio Grande do Sul
Palmeira;BR;18;Paraná
Palmas de Monte Alto;BR;05;Bahia
Palmas;BR;18;Paraná
Palmares do Sul;BR;23;Rio Grande do Sul
Brunópolis;BR;26;Santa Catarina
Palhoça;BR;26;Santa Catarina
Paiçandu;BR;18;Paraná
Padre Paraíso;BR;15;Minas Gerais
Padre Bernardo;BR;29;Goiás
Pacatuba;BR;28;Sergipe
Pacaembu;BR;27;São Paulo
Ouro Verde do Oeste;BR;18;Paraná
Ouro Preto;BR;15;Minas Gerais
Ouro Branco;BR;15;Minas Gerais
Ourolândia;BR;05;Bahia
Ourinhos;BR;27;São Paulo
Otacílio Costa;BR;26;Santa Catarina
Osvaldo Cruz;BR;27;São Paulo
Osório;BR;23;Rio Grande do Sul
Osasco;BR;27;São Paulo
Ortigueira;BR;18;Paraná
Orleans;BR;26;Santa Catarina
Orlândia;BR;27;São Paulo
Orizona;BR;29;Goiás
Onça;BR;15;Minas Gerais
Oliveira dos Brejinhos;BR;05;Bahia
Oliveira;BR;15;Minas Gerais
Olindina;BR;05;Bahia
Pedro Osório;BR;23;Rio Grande do Sul
Olímpia;BR;27;São Paulo
Nuporanga;BR;27;São Paulo
Novo Horizonte;BR;27;São Paulo
Novo Hamburgo;BR;23;Rio Grande do Sul
Novo Cruzeiro;BR;15;Minas Gerais
Nova Viçosa;BR;05;Bahia
Nova Venécia;BR;08;Espírito Santo
Nova Soure;BR;05;Bahia
Nova Roma do Sul;BR;23;Rio Grande do Sul
Nova Prata;BR;23;Rio Grande do Sul
Nova Petrópolis;BR;23;Rio Grande do Sul
Nova Olímpia;BR;14;Mato Grosso
Nova Odessa;BR;27;São Paulo
Nova Londrina;BR;18;Paraná
Nova Lima;BR;15;Minas Gerais
Nova Iguaçu;BR;21;Rio de Janeiro
Nova Granada;BR;27;São Paulo
Nova Friburgo;BR;21;Rio de Janeiro
Nova Esperança do Sul;BR;23;Rio Grande do Sul
Nova Era;BR;15;Minas Gerais
Nova Canaã Paulista;BR;27;São Paulo
Nova Aurora;BR;18;Paraná
Nossa Senhora do Socorro;BR;28;Sergipe
Freguesia do Ó;BR;27;São Paulo
Nossa Senhora das Dores;BR;28;Sergipe
Nossa Senhora da Glória;BR;28;Sergipe
Nortelândia;BR;14;Mato Grosso
Nobres;BR;14;Mato Grosso
Niterói;BR;21;Rio de Janeiro
Niquelândia;BR;29;Goiás
Nilópolis;BR;21;Rio de Janeiro
Coronel Sapucaia;BR;11;Mato Grosso do Sul
Nhandeara;BR;27;São Paulo
Nerópolis;BR;29;Goiás
Nepomuceno;BR;15;Minas Gerais
Neópolis;BR;28;Sergipe
Nazaré;BR;05;Bahia
Naviraí;BR;11;Mato Grosso do Sul
Navegantes;BR;26;Santa Catarina
Natividade;BR;21;Rio de Janeiro
Natividade;BR;31;Tocantins
Não Me Toque;BR;23;Rio Grande do Sul
Nanuque;BR;15;Minas Gerais
Muzambinho;BR;15;Minas Gerais
Mutum;BR;15;Minas Gerais
Dom Aquino;BR;14;Mato Grosso
Mutuípe;BR;05;Bahia
Muritiba;BR;05;Bahia
Muriaé;BR;15;Minas Gerais
Muniz Freire;BR;08;Espírito Santo
Mundo Novo;BR;05;Bahia
Mucurici;BR;08;Espírito Santo
Mucuri;BR;05;Bahia
Mozarlândia;BR;29;Goiás
Morro do Chapéu;BR;05;Bahia
Pedro Canário;BR;08;Espírito Santo
Morro da Fumaça;BR;26;Santa Catarina
Barão de Monte Alto;BR;15;Minas Gerais
Morro Agudo;BR;27;São Paulo
Morrinhos;BR;29;Goiás
Moreira Sales;BR;18;Paraná
Monte Sião;BR;15;Minas Gerais
Montes Claros;BR;15;Minas Gerais
Monte Santo de Minas;BR;15;Minas Gerais
Monte Santo;BR;05;Bahia
Montenegro;BR;23;Rio Grande do Sul
Monte Mor;BR;27;São Paulo
Monte Carmelo;BR;15;Minas Gerais
Monte Belo do Sul;BR;23;Rio Grande do Sul
Monte Formoso;BR;15;Minas Gerais
Monte Azul Paulista;BR;27;São Paulo
Monte Azul;BR;15;Minas Gerais
Monte Aprazível;BR;27;São Paulo
Monte Alto;BR;27;São Paulo
Monte Alegre de Sergipe;BR;28;Sergipe
Monte Alegre de Minas;BR;15;Minas Gerais
Monte Alegre de Goiás;BR;29;Goiás
Montanha;BR;08;Espírito Santo
Mongaguá;BR;27;São Paulo
Moita Bonita;BR;28;Sergipe
Mogi Mirim;BR;27;São Paulo
Mogi Guaçu;BR;27;São Paulo
Mogi das Cruzes;BR;27;São Paulo
Mococa;BR;27;São Paulo
São João das Missões;BR;15;Minas Gerais
Mirante do Paranapanema;BR;27;São Paulo
Mirandópolis;BR;27;São Paulo
Miranda;BR;11;Mato Grosso do Sul
Miraí;BR;15;Minas Gerais
Miracema;BR;21;Rio de Janeiro
Miracatu;BR;27;São Paulo
Mirabela;BR;15;Minas Gerais
Mineiros;BR;29;Goiás
Minas Novas;BR;15;Minas Gerais
Mimoso do Sul;BR;08;Espírito Santo
Mimoso de Goiás;BR;29;Goiás
Miguel Pereira;BR;21;Rio de Janeiro
Miguelópolis;BR;27;São Paulo
Miguel Calmon;BR;05;Bahia
Senador Modestino Gonçalves;BR;15;Minas Gerais
Mendes;BR;21;Rio de Janeiro
Vale Verde;BR;23;Rio Grande do Sul
Medina;BR;15;Minas Gerais
Medianeira;BR;18;Paraná
Medeiros Neto;BR;05;Bahia
Itapuca;BR;23;Rio Grande do Sul
Mauá;BR;27;São Paulo
Matozinhos;BR;15;Minas Gerais
Mato Verde;BR;15;Minas Gerais
Matipó;BR;15;Minas Gerais
Matias Barbosa;BR;15;Minas Gerais
Mateus Leme;BR;15;Minas Gerais
Matelândia;BR;18;Paraná
Matão;BR;27;São Paulo
Mata de São João;BR;05;Bahia
Mascote;BR;05;Bahia
Maruim;BR;28;Sergipe
Martinópolis;BR;27;São Paulo
Martinho Campos;BR;15;Minas Gerais
Maripá de Minas;BR;15;Minas Gerais
Maringá;BR;18;Paraná
Marília;BR;27;São Paulo
Marilândia;BR;08;Espírito Santo
Maricá;BR;21;Rio de Janeiro
Mariana;BR;15;Minas Gerais
Marialva;BR;18;Paraná
Nova Marilândia;BR;14;Mato Grosso
Marechal Floriano;BR;08;Espírito Santo
Marechal Cândido Rondon;BR;18;Paraná
Mar de Espanha;BR;15;Minas Gerais
Marau;BR;23;Rio Grande do Sul
Maraú;BR;05;Bahia
Marataizes;BR;08;Espírito Santo
Maragogipe;BR;05;Bahia
Maracás;BR;05;Bahia
Maracaju;BR;11;Mato Grosso do Sul
Maracaí;BR;27;São Paulo
Mantenópolis;BR;08;Espírito Santo
Manhumirim;BR;15;Minas Gerais
Manhuaçu;BR;15;Minas Gerais
Aurora do Tocantins;BR;31;Tocantins
Mangaratiba;BR;21;Rio de Janeiro
Manga;BR;15;Minas Gerais
Mandaguari;BR;18;Paraná
Mandaguaçu;BR;18;Paraná
Malhador;BR;28;Sergipe
Malacacheta;BR;15;Minas Gerais
Major Gercino;BR;26;Santa Catarina
Mairiporã;BR;27;São Paulo
Mairinque;BR;27;São Paulo
Mairi;BR;05;Bahia
Mafra;BR;26;Santa Catarina
Materlândia;BR;15;Minas Gerais
Madre de Deus;BR;05;Bahia
Machado;BR;15;Minas Gerais
Macaúbas;BR;05;Bahia
Macatuba;BR;27;São Paulo
Macaé;BR;21;Rio de Janeiro
Luziânia;BR;29;Goiás
Luz;BR;15;Minas Gerais
Luciara;BR;14;Mato Grosso
Lucélia;BR;27;São Paulo
Lucas;BR;14;Mato Grosso
Louveira;BR;27;São Paulo
Lorena;BR;27;São Paulo
Londrina;BR;18;Paraná
Loanda;BR;18;Paraná
Livramento do Brumado;BR;05;Bahia
Lins;BR;27;São Paulo
Linhares;BR;08;Espírito Santo
Limeira;BR;27;São Paulo
Lima Duarte;BR;15;Minas Gerais
Liberdade;BR;27;São Paulo
Leopoldina;BR;15;Minas Gerais
Lençóis Paulista;BR;27;São Paulo
Leme;BR;27;São Paulo
Minas do Leão;BR;23;Rio Grande do Sul
Lavras;BR;15;Minas Gerais
Lauro Muller;BR;26;Santa Catarina
Laranjeiras do Sul;BR;18;Paraná
Laranjeiras;BR;28;Sergipe
Laranjal Paulista;BR;27;São Paulo
Laranja da Terra;BR;08;Espírito Santo
Lapão;BR;05;Bahia
Lapa;BR;27;São Paulo
Lapa;BR;18;Paraná
Lambari;BR;15;Minas Gerais
Lajinha;BR;15;Minas Gerais
Lages;BR;26;Santa Catarina
Teolândia;BR;05;Bahia
Lajeado;BR;23;Rio Grande do Sul
Laje;BR;05;Bahia
Laguna;BR;26;Santa Catarina
Lagoa Vermelha;BR;23;Rio Grande do Sul
Lagoa Santa;BR;15;Minas Gerais
Lagoa Formosa;BR;15;Minas Gerais
Nova Fátima;BR;05;Bahia
Lagoa da Prata;BR;15;Minas Gerais
Presidente Dutra;BR;05;Bahia
Lagoa;BR;26;Santa Catarina
Lagarto;BR;28;Sergipe
Ladário;BR;11;Mato Grosso do Sul
Juquitiba;BR;27;São Paulo
Juquiá;BR;27;São Paulo
Junqueirópolis;BR;27;São Paulo
Jundiaí;BR;27;São Paulo
Júlio de Castilhos;BR;23;Rio Grande do Sul
Juiz de Fora;BR;15;Minas Gerais
Juatuba;BR;15;Minas Gerais
José Bonifácio;BR;27;São Paulo
Joinville;BR;26;Santa Catarina
João Pinheiro;BR;15;Minas Gerais
João Neiva;BR;08;Espírito Santo
João Monlevade;BR;15;Minas Gerais
Joanópolis;BR;27;São Paulo
Picada Café;BR;23;Rio Grande do Sul
Joaíma;BR;15;Minas Gerais
Joaçaba;BR;26;Santa Catarina
Jitaúna;BR;05;Bahia
Jetibá;BR;08;Espírito Santo
Jerônimo Monteiro;BR;08;Espírito Santo
Jeremoabo;BR;05;Bahia
Jequitinhonha;BR;15;Minas Gerais
Jequié;BR;05;Bahia
Jequiá da Praia;BR;02;Alagoas
Jaú;BR;27;São Paulo
Jataizinho;BR;18;Paraná
Jataí;BR;29;Goiás
Jarinu;BR;27;São Paulo
Jardinópolis;BR;27;São Paulo
Jardim;BR;11;Mato Grosso do Sul
Novo Jardim;BR;31;Tocantins
Jaraguá do Sul;BR;26;Santa Catarina
Jaraguá;BR;27;São Paulo
Jaraguá;BR;29;Goiás
Japoatã;BR;28;Sergipe
Japeri;BR;21;Rio de Janeiro
Japaratuba;BR;28;Sergipe
Januária;BR;15;Minas Gerais
Jandira;BR;27;São Paulo
Jandaia do Sul;BR;18;Paraná
Janaúba;BR;15;Minas Gerais
Jales;BR;27;São Paulo
Jaguaruna;BR;26;Santa Catarina
Jaguariúna;BR;27;São Paulo
Jaguariaíva;BR;18;Paraná
Jaguarari;BR;05;Bahia
Jaguarão;BR;23;Rio Grande do Sul
Jaguaquara;BR;05;Bahia
Jacutinga;BR;15;Minas Gerais
Jacupiranga;BR;27;São Paulo
Jacobina;BR;05;Bahia
Jaciara;BR;14;Mato Grosso
Jacarezinho;BR;18;Paraná
Jacareí;BR;27;São Paulo
Jaboticabal;BR;27;São Paulo
Ivoti;BR;23;Rio Grande do Sul
Ivinhema;BR;11;Mato Grosso do Sul
Iúna;BR;08;Espírito Santo
Ituverava;BR;27;São Paulo
Iturama;BR;15;Minas Gerais
Itupeva;BR;27;São Paulo
Itumbiara;BR;29;Goiás
Ituiutaba;BR;15;Minas Gerais
Ituberá;BR;05;Bahia
Ituaçu;BR;05;Bahia
Itu;BR;27;São Paulo
Itororó;BR;05;Bahia
Itiruçu;BR;05;Bahia
Itirapina;BR;27;São Paulo
Antônio Gonçalves;BR;05;Bahia
Itinga;BR;15;Minas Gerais
Itaúna;BR;15;Minas Gerais
Itaú de Minas;BR;15;Minas Gerais
Itatinga;BR;27;São Paulo
Itatiba do Sul;BR;23;Rio Grande do Sul
Itatiba;BR;27;São Paulo
Itatiaia;BR;21;Rio de Janeiro
Itararé;BR;27;São Paulo
Itarantim;BR;05;Bahia
Itarana;BR;08;Espírito Santo
Itaqui;BR;23;Rio Grande do Sul
Itaquera;BR;27;São Paulo
Itaquaquecetuba;BR;27;São Paulo
Itapuranga;BR;29;Goiás
Itapuí;BR;27;São Paulo
Itaporanga;BR;27;São Paulo
Itápolis;BR;27;São Paulo
Fernandes Tourinho;BR;15;Minas Gerais
Teofilândia;BR;05;Bahia
Itapirapuã Paulista;BR;27;São Paulo
Itapirapuã;BR;29;Goiás
Itapira;BR;27;São Paulo
Itapicuru;BR;05;Bahia
Itapevi;BR;27;São Paulo
Itapeva;BR;27;São Paulo
Itapetininga;BR;27;São Paulo
Itapetinga;BR;05;Bahia
Itaperuna;BR;21;Rio de Janeiro
Itaperuçu;BR;18;Paraná
Itapemirim;BR;08;Espírito Santo
Itapema;BR;26;Santa Catarina
Itapejara d'Oeste;BR;18;Paraná
Itapecerica da Serra;BR;27;São Paulo
Itapecerica;BR;15;Minas Gerais
Itaparica;BR;05;Bahia
Itapaci;BR;29;Goiás
Itaocara;BR;21;Rio de Janeiro
Itanhém;BR;05;Bahia
Itanhandu;BR;15;Minas Gerais
Itanhaém;BR;27;São Paulo
Itambé;BR;05;Bahia
Itambacuri;BR;15;Minas Gerais
Itamarati de Minas;BR;15;Minas Gerais
Itamarandiba;BR;15;Minas Gerais
Itamaraju;BR;05;Bahia
Itajuípe;BR;05;Bahia
Itajubá;BR;15;Minas Gerais
Itajobi;BR;27;São Paulo
Itagibá;BR;05;Bahia
Itajaí;BR;26;Santa Catarina
Itaí;BR;27;São Paulo
Itaguaí;BR;21;Rio de Janeiro
Itaguaçu;BR;08;Espírito Santo
Itagimirim;BR;05;Bahia
Itagi;BR;05;Bahia
Itacaré;BR;05;Bahia
Itacarambi;BR;15;Minas Gerais
Itabuna;BR;05;Bahia
Itaboraí;BR;21;Rio de Janeiro
Itabirito;BR;15;Minas Gerais
Itabira;BR;15;Minas Gerais
Itaberaí;BR;29;Goiás
Itaberaba;BR;05;Bahia
Itaberá;BR;27;São Paulo
Itabaianinha;BR;28;Sergipe
Itabaiana;BR;28;Sergipe
Irupi;BR;08;Espírito Santo
Presidente Castelo Branco;BR;18;Paraná
Irecê;BR;05;Bahia
Irati;BR;18;Paraná
Irará;BR;05;Bahia
Iraquara;BR;05;Bahia
Iracemápolis;BR;27;São Paulo
Ipuã;BR;27;São Paulo
Iporã do Oeste;BR;26;Santa Catarina
Iporã;BR;18;Paraná
Iporá;BR;29;Goiás
Ipiranga;BR;27;São Paulo
Ipiranga do Sul;BR;23;Rio Grande do Sul
Ipirá;BR;05;Bahia
Ipiaú;BR;05;Bahia
Iperó;BR;27;São Paulo
Ipauçu;BR;27;São Paulo
Ipatinga;BR;15;Minas Gerais
Ipameri;BR;29;Goiás
Ipaba;BR;15;Minas Gerais
Inhumas;BR;29;Goiás
Inhapim;BR;15;Minas Gerais
Inhambupe;BR;05;Bahia
Indiaroba;BR;28;Sergipe
Indaiatuba;BR;27;São Paulo
Indaial;BR;26;Santa Catarina
Divino de São Lourenço;BR;08;Espírito Santo
Imbituva;BR;18;Paraná
Imbituba;BR;26;Santa Catarina
Imbé de Minas;BR;15;Minas Gerais
Ilhéus;BR;05;Bahia
Ilha Solteira;BR;27;São Paulo
Ilhabela;BR;27;São Paulo
Ijuí;BR;23;Rio Grande do Sul
Iguatemi;BR;11;Mato Grosso do Sul
Iguape;BR;27;São Paulo
Iguaí;BR;05;Bahia
Iguaba Grande;BR;21;Rio de Janeiro
Iguaba;BR;05;Bahia
Igrejinha;BR;23;Rio Grande do Sul
Igreja Nova;BR;02;Alagoas
Igarapé;BR;15;Minas Gerais
Igarapava;BR;27;São Paulo
Igaraçu do Tietê;BR;27;São Paulo
Iconha;BR;08;Espírito Santo
Pilão Arcado;BR;05;Bahia
Içara;BR;26;Santa Catarina
Ibotirama;BR;05;Bahia
Ibiúna;BR;27;São Paulo
Ibitiúra de Minas;BR;15;Minas Gerais
Ibitinga;BR;27;São Paulo
Ibirubá;BR;23;Rio Grande do Sul
Ibirité;BR;15;Minas Gerais
Ibirataia;BR;05;Bahia
Ibirapitanga;BR;05;Bahia
Ibirama;BR;26;Santa Catarina
Ibiraçu;BR;08;Espírito Santo
Ibiporã;BR;18;Paraná
Ibipeba;BR;05;Bahia
Ibicuí;BR;05;Bahia
Ibicaraí;BR;05;Bahia
Canápolis;BR;05;Bahia
Ibiá;BR;15;Minas Gerais
Ibatiba;BR;08;Espírito Santo
Ibaté;BR;27;São Paulo
Ibaiti;BR;18;Paraná
Iaçu;BR;05;Bahia
Iaciara;BR;29;Goiás
Hortolândia;BR;27;São Paulo
Horizontina;BR;23;Rio Grande do Sul
Hidrolândia;BR;29;Goiás
Herval;BR;23;Rio Grande do Sul
Guzolândia;BR;27;São Paulo
Gurupi;BR;31;Tocantins
Guiratinga;BR;14;Mato Grosso
Guia Lopes da Laguna;BR;11;Mato Grosso do Sul
Guaxupé;BR;15;Minas Gerais
Guatapará;BR;27;São Paulo
Guarulhos;BR;27;São Paulo
Guarujá do Sul;BR;26;Santa Catarina
Guarujá;BR;27;São Paulo
Lunardelli;BR;18;Paraná
Guariba;BR;27;São Paulo
Guaratuba;BR;18;Paraná
Guaratinguetá;BR;27;São Paulo
Guaratinga;BR;05;Bahia
Guararema;BR;27;São Paulo
Guararapes;BR;27;São Paulo
Guarapuava;BR;18;Paraná
Guarapari;BR;08;Espírito Santo
Guaraniaçu;BR;18;Paraná
Guaranésia;BR;15;Minas Gerais
Guaramirim;BR;26;Santa Catarina
Guará;BR;27;São Paulo
Cristais Paulista;BR;27;São Paulo
Guaporé;BR;23;Rio Grande do Sul
Guapó;BR;29;Goiás
Guapimirim;BR;21;Rio de Janeiro
Guapiaçu;BR;27;São Paulo
Guanhães;BR;15;Minas Gerais
Guanambi;BR;05;Bahia
Guaíra;BR;27;São Paulo
Engenheiro Coelho;BR;27;São Paulo
Guaianases;BR;27;São Paulo
Guaçuí;BR;08;Espírito Santo
Gravataí;BR;23;Rio Grande do Sul
Governador Valadares;BR;15;Minas Gerais
Goiatuba;BR;29;Goiás
Goiás;BR;29;Goiás
Goianira;BR;29;Goiás
Goiânia;BR;29;Goiás
Goianésia;BR;29;Goiás
Goianápolis;BR;29;Goiás
Giruá;BR;23;Rio Grande do Sul
General Salgado;BR;27;São Paulo
Gaspar;BR;26;Santa Catarina
Garibaldi;BR;23;Rio Grande do Sul
Garça;BR;27;São Paulo
Gandu;BR;05;Bahia
Divinópolis de Goiás;BR;29;Goiás
Fundão;BR;08;Espírito Santo
Frutal;BR;15;Minas Gerais
Bonfinópolis de Minas;BR;15;Minas Gerais
Frei Paulo;BR;28;Sergipe
Frederico Westphalen;BR;23;Rio Grande do Sul
Franco da Rocha;BR;27;São Paulo
Francisco Sá;BR;15;Minas Gerais
Francisco Morato;BR;27;São Paulo
Lucas do Rio Verde;BR;14;Mato Grosso
Francisco Beltrão;BR;18;Paraná
Franca;BR;27;São Paulo
Foz do Iguaçu;BR;18;Paraná
Fortuna de Minas;BR;15;Minas Gerais
Forquilhinha;BR;26;Santa Catarina
Formosa do Rio Preto;BR;05;Bahia
Formosa;BR;29;Goiás
Formiga;BR;15;Minas Gerais
Flórida Paulista;BR;27;São Paulo
Florianópolis;BR;26;Santa Catarina
Florestópolis;BR;18;Paraná
Flores da Cunha;BR;23;Rio Grande do Sul
Firminópolis;BR;29;Goiás
Ferraz de Vasconcelos;BR;27;São Paulo
Fernandópolis;BR;27;São Paulo
São Gonçalo do Rio Preto;BR;15;Minas Gerais
Feira de Santana;BR;05;Bahia
Faxinal;BR;18;Paraná
Fartura;BR;27;São Paulo
Farroupilha;BR;23;Rio Grande do Sul
Extrema;BR;15;Minas Gerais
Eunápolis;BR;05;Bahia
Euclides da Cunha;BR;05;Bahia
Ewbank da Câmara;BR;15;Minas Gerais
Estrela;BR;23;Rio Grande do Sul
Esteio;BR;23;Rio Grande do Sul
Estância Velha;BR;23;Rio Grande do Sul
Estância;BR;28;Sergipe
Espumoso;BR;23;Rio Grande do Sul
Esplanada;BR;05;Bahia
Espinosa;BR;15;Minas Gerais
Espigão Alto do Iguaçu;BR;18;Paraná
Esperança do Sul;BR;23;Rio Grande do Sul
Espera Feliz;BR;15;Minas Gerais
Esmeraldas;BR;15;Minas Gerais
Herval d'Oeste;BR;26;Santa Catarina
Erechim;BR;23;Rio Grande do Sul
São Bento Abade;BR;15;Minas Gerais
Entre Rios;BR;05;Bahia
Engenheiro Beltrão;BR;18;Paraná
Encruzilhada do Sul;BR;23;Rio Grande do Sul
Encruzilhada;BR;05;Bahia
Encantado;BR;23;Rio Grande do Sul
Embu Guaçu;BR;27;São Paulo
Embu das Artes;BR;27;São Paulo
Elói Mendes;BR;15;Minas Gerais
Elias Fausto;BR;27;São Paulo
